DATE,CAPUTLG3361T3S
1967-04-01,80.2024
1967-05-01,80.5444
1967-06-01,78.8851
1967-07-01,77.6417
1967-08-01,76.5859
1967-09-01,72.5131
1967-10-01,72.1419
1967-11-01,80.7920
1967-12-01,87.4650
1968-01-01,87.4868
1968-02-01,87.7110
1968-03-01,89.2495
1968-04-01,89.5879
1968-05-01,91.5787
1968-06-01,90.0043
1968-07-01,89.0540
1968-08-01,88.7293
1968-09-01,90.2541
1968-10-01,93.5100
1968-11-01,93.3550
1968-12-01,90.6685
1969-01-01,88.9550
1969-02-01,90.4680
1969-03-01,88.5156
1969-04-01,85.5804
1969-05-01,79.9996
1969-06-01,86.2209
1969-07-01,88.1688
1969-08-01,88.6191
1969-09-01,88.7100
1969-10-01,88.0790
1969-11-01,85.0708
1969-12-01,82.2560
1970-01-01,74.1003
1970-02-01,69.6440
1970-03-01,70.4146
1970-04-01,69.9778
1970-05-01,73.0893
1970-06-01,74.1669
1970-07-01,71.1910
1970-08-01,68.1700
1970-09-01,63.2817
1970-10-01,46.0887
1970-11-01,45.4621
1970-12-01,70.4419
1971-01-01,77.1088
1971-02-01,80.4602
1971-03-01,78.5962
1971-04-01,76.7546
1971-05-01,78.3576
1971-06-01,79.2168
1971-07-01,78.6141
1971-08-01,78.9251
1971-09-01,80.1460
1971-10-01,81.4159
1971-11-01,79.9442
1971-12-01,79.5651
1972-01-01,79.6591
1972-02-01,80.9531
1972-03-01,81.5210
1972-04-01,84.0515
1972-05-01,82.3865
1972-06-01,80.9294
1972-07-01,80.4687
1972-08-01,84.7816
1972-09-01,85.9331
1972-10-01,88.4669
1972-11-01,90.3766
1972-12-01,92.2959
1973-01-01,93.9725
1973-02-01,95.7041
1973-03-01,93.9277
1973-04-01,93.2736
1973-05-01,92.4946
1973-06-01,92.7512
1973-07-01,92.9544
1973-08-01,86.7395
1973-09-01,91.7008
1973-10-01,91.1287
1973-11-01,90.6764
1973-12-01,85.8831
1974-01-01,77.1747
1974-02-01,75.5032
1974-03-01,74.8948
1974-04-01,75.3949
1974-05-01,77.0407
1974-06-01,77.7841
1974-07-01,79.4740
1974-08-01,79.4208
1974-09-01,82.6009
1974-10-01,81.9314
1974-11-01,75.2621
1974-12-01,64.1803
1975-01-01,58.3518
1975-02-01,55.2153
1975-03-01,59.2847
1975-04-01,62.4276
1975-05-01,63.6821
1975-06-01,65.2213
1975-07-01,66.9598
1975-08-01,70.0798
1975-09-01,72.5761
1975-10-01,71.6382
1975-11-01,72.4273
1975-12-01,75.2449
1976-01-01,75.3632
1976-02-01,79.1585
1976-03-01,79.6664
1976-04-01,80.7833
1976-05-01,82.1778
1976-06-01,83.3021
1976-07-01,83.5842
1976-08-01,86.3656
1976-09-01,79.7788
1976-10-01,76.9659
1976-11-01,85.0296
1976-12-01,89.5026
1977-01-01,87.1314
1977-02-01,86.3842
1977-03-01,90.1763
1977-04-01,88.9378
1977-05-01,88.5652
1977-06-01,91.6351
1977-07-01,92.2502
1977-08-01,91.4276
1977-09-01,91.1176
1977-10-01,91.6383
1977-11-01,88.9529
1977-12-01,90.6581
1978-01-01,82.8062
1978-02-01,85.5795
