DATE,CAPUTLGMFDS
1986-05-01,75.1232
1986-06-01,74.6473
1986-07-01,75.1555
1986-08-01,75.1412
1986-09-01,75.3485
1986-10-01,75.1818
1986-11-01,75.3798
1986-12-01,75.8797
1987-01-01,75.5982
1987-02-01,76.7623
1987-03-01,76.4224
1987-04-01,76.6208
1987-05-01,76.7723
1987-06-01,76.7216
1987-07-01,76.7816
1987-08-01,77.4400
1987-09-01,77.8904
1987-10-01,79.6324
1987-11-01,79.8621
1987-12-01,80.3875
1988-01-01,80.2366
1988-02-01,80.2878
1988-03-01,80.6283
1988-04-01,81.5260
1988-05-01,81.8260
1988-06-01,81.9822
1988-07-01,81.6719
1988-08-01,81.7783
1988-09-01,82.5683
1988-10-01,82.9734
1988-11-01,83.4323
1988-12-01,83.6006
1989-01-01,84.5984
1989-02-01,83.2746
1989-03-01,82.7254
1989-04-01,83.0977
1989-05-01,81.9216
1989-06-01,81.7796
1989-07-01,80.6558
1989-08-01,81.3841
1989-09-01,80.9412
1989-10-01,79.8796
1989-11-01,79.7465
1989-12-01,79.9959
1990-01-01,78.7177
1990-02-01,80.0253
1990-03-01,80.8452
1990-04-01,80.1725
1990-05-01,80.4872
1990-06-01,80.5293
1990-07-01,79.9627
1990-08-01,80.0944
1990-09-01,79.8193
1990-10-01,78.6725
1990-11-01,76.7212
1990-12-01,75.8895
1991-01-01,75.1785
1991-02-01,74.2811
1991-03-01,73.8704
1991-04-01,74.1615
1991-05-01,74.3882
1991-06-01,75.5085
1991-07-01,75.9996
1991-08-01,75.7976
1991-09-01,76.9515
1991-10-01,76.5460
1991-11-01,76.5560
1991-12-01,76.0870
1992-01-01,74.7351
1992-02-01,76.1014
1992-03-01,76.6577
1992-04-01,77.0158
1992-05-01,77.6574
1992-06-01,77.3576
1992-07-01,77.9782
1992-08-01,77.4002
1992-09-01,77.1294
1992-10-01,77.7482
1992-11-01,77.9520
1992-12-01,77.9905
1993-01-01,78.4436
1993-02-01,78.4977
1993-03-01,78.4412
1993-04-01,78.6484
1993-05-01,78.5067
1993-06-01,78.0687
1993-07-01,78.0855
1993-08-01,77.6048
1993-09-01,78.3982
1993-10-01,79.3056
1993-11-01,79.6335
1993-12-01,80.1226
1994-01-01,80.1866
1994-02-01,79.7653
1994-03-01,80.3963
1994-04-01,81.1723
1994-05-01,81.3281
1994-06-01,81.1406
1994-07-01,81.6476
1994-08-01,81.5257
1994-09-01,82.0119
1994-10-01,82.6355
1994-11-01,82.8947
1994-12-01,83.7201
1995-01-01,83.5012
1995-02-01,82.7234
1995-03-01,82.7550
1995-04-01,82.1795
1995-05-01,81.9860
1995-06-01,82.1202
1995-07-01,80.8094
1995-08-01,81.9438
1995-09-01,82.4774
1995-10-01,81.8479
1995-11-01,81.5871
1995-12-01,81.6561
1996-01-01,80.4755
1996-02-01,81.7928
1996-03-01,80.4964
1996-04-01,81.6017
1996-05-01,81.7293
1996-06-01,82.2279
1996-07-01,81.9664
1996-08-01,81.9481
1996-09-01,82.0929
1996-10-01,81.1576
1996-11-01,81.4158
1996-12-01,81.6988
1997-01-01,81.1774
1997-02-01,82.0611
1997-03-01,82.3032
1997-04-01,81.7107
1997-05-01,81.8739
1997-06-01,82.1660
1997-07-01,81.8450
1997-08-01,82.5875
1997-09-01,82.6228
1997-10-01,82.8006
1997-11-01,83.4628
1997-12-01,83.1490
1998-01-01,83.0105
1998-02-01,82.5029
1998-03-01,81.6154
1998-04-01,81.1090
1998-05-01,80.8778
1998-06-01,79.1108
1998-07-01,77.8107
1998-08-01,80.5224
1998-09-01,80.1922
1998-10-01,80.8020
1998-11-01,80.4425
1998-12-01,80.6455
1999-01-01,80.1430
1999-02-01,80.3594
1999-03-01,80.0246
1999-04-01,80.2053
1999-05-01,80.3417
1999-06-01,80.0137
1999-07-01,80.6328
1999-08-01,80.5665
1999-09-01,79.5712
1999-10-01,80.4095
1999-11-01,80.3183
1999-12-01,80.2410
2000-01-01,80.8684
2000-02-01,80.5728
2000-03-01,80.7412
2000-04-01,81.0339
2000-05-01,80.7738
2000-06-01,80.5062
2000-07-01,80.2657
2000-08-01,79.3462
2000-09-01,79.1673
2000-10-01,78.5403
2000-11-01,77.7262
2000-12-01,76.6753
2001-01-01,75.6785
2001-02-01,74.7687
2001-03-01,74.6427
2001-04-01,73.6828
2001-05-01,72.7970
2001-06-01,71.8327
2001-07-01,71.0743
2001-08-01,70.2093
2001-09-01,69.5224
2001-10-01,68.4642
2001-11-01,68.2079
2001-12-01,68.4097
2002-01-01,68.5312
2002-02-01,68.6737
2002-03-01,69.2689
2002-04-01,69.7082
2002-05-01,69.9128
2002-06-01,70.7072
2002-07-01,70.5877
2002-08-01,70.8442
2002-09-01,70.8736
2002-10-01,70.5697
2002-11-01,71.0503
2002-12-01,70.3338
2003-01-01,70.9198
2003-02-01,70.6243
2003-03-01,70.4278
2003-04-01,69.7632
2003-05-01,70.1416
2003-06-01,70.6884
2003-07-01,71.1790
2003-08-01,70.8353
2003-09-01,71.6579
2003-10-01,71.8659
2003-11-01,72.9175
2003-12-01,72.7603
2004-01-01,72.8350
2004-02-01,73.5198
2004-03-01,73.4710
2004-04-01,73.5575
2004-05-01,74.0284
2004-06-01,73.4231
2004-07-01,74.1708
2004-08-01,74.4215
2004-09-01,74.4820
2004-10-01,75.2987
2004-11-01,75.0741
2004-12-01,75.5370
2005-01-01,76.1409
2005-02-01,76.8395
2005-03-01,76.1713
2005-04-01,76.3595
2005-05-01,76.4114
2005-06-01,76.1807
2005-07-01,75.4570
2005-08-01,76.3816
2005-09-01,76.4106
2005-10-01,78.1287
2005-11-01,78.0449
2005-12-01,77.5753
2006-01-01,78.2156
2006-02-01,77.9138
2006-03-01,77.9646
2006-04-01,78.3264
2006-05-01,77.8563
2006-06-01,78.0636
2006-07-01,77.5195
2006-08-01,78.2054
2006-09-01,77.8858
2006-10-01,77.2012
2006-11-01,77.2775
2006-12-01,78.2620
2007-01-01,77.3599
2007-02-01,77.7003
2007-03-01,78.5932
2007-04-01,79.2133
2007-05-01,79.0009
2007-06-01,79.2177
2007-07-01,78.9826
2007-08-01,78.8980
2007-09-01,79.0611
2007-10-01,78.9133
2007-11-01,79.5648
2007-12-01,79.6419
2008-01-01,79.5758
2008-02-01,79.1764
2008-03-01,79.1041
2008-04-01,77.9984
2008-05-01,77.5732
2008-06-01,77.3792
2008-07-01,76.1099
2008-08-01,75.0268
2008-09-01,72.3580
2008-10-01,70.4075
2008-11-01,68.4873
2008-12-01,66.1611
2009-01-01,62.4550
2009-02-01,62.2024
2009-03-01,60.7775
2009-04-01,60.1609
2009-05-01,58.8597
2009-06-01,58.3856
2009-07-01,60.4788
2009-08-01,61.4015
2009-09-01,62.6008
2009-10-01,62.6477
2009-11-01,63.5211
2009-12-01,63.8089
2010-01-01,65.0769
