DATE,CAPUTLG21S
1967-01-01,83.2313
1967-02-01,81.7212
1967-03-01,80.9373
1967-04-01,81.2579
1967-05-01,79.8275
1967-06-01,80.0636
1967-07-01,82.4573
1967-08-01,83.1466
1967-09-01,81.6055
1967-10-01,81.4190
1967-11-01,80.9085
1967-12-01,80.4190
1968-01-01,81.2064
1968-02-01,82.4442
1968-03-01,83.1700
1968-04-01,83.7558
1968-05-01,84.1031
1968-06-01,83.7154
1968-07-01,85.1771
1968-08-01,84.8922
1968-09-01,84.6376
1968-10-01,82.4898
1968-11-01,84.7662
1968-12-01,85.0661
1969-01-01,85.4855
1969-02-01,85.0694
1969-03-01,85.4676
1969-04-01,85.6103
1969-05-01,86.3542
1969-06-01,88.6581
1969-07-01,86.5852
1969-08-01,86.8314
1969-09-01,87.6590
1969-10-01,88.0729
1969-11-01,88.4335
1969-12-01,89.6982
1970-01-01,89.0996
1970-02-01,88.2102
1970-03-01,88.3983
1970-04-01,88.1711
1970-05-01,88.0117
1970-06-01,87.8500
1970-07-01,87.0606
1970-08-01,89.6212
1970-09-01,90.6171
1970-10-01,92.2832
1970-11-01,92.3942
1970-12-01,91.8995
1971-01-01,90.5504
1971-02-01,89.0673
1971-03-01,89.4844
1971-04-01,89.8127
1971-05-01,89.7145
1971-06-01,89.5452
1971-07-01,86.7282
1971-08-01,88.6774
1971-09-01,88.1913
1971-10-01,80.9046
1971-11-01,84.2365
1971-12-01,89.9278
1972-01-01,90.3752
1972-02-01,89.4369
1972-03-01,90.1925
1972-04-01,91.1703
1972-05-01,90.4729
1972-06-01,90.6045
1972-07-01,90.5029
1972-08-01,91.5724
1972-09-01,91.7381
1972-10-01,91.3714
1972-11-01,91.3291
1972-12-01,91.2033
1973-01-01,91.3306
1973-02-01,91.4334
1973-03-01,90.5453
1973-04-01,90.2227
1973-05-01,90.6651
1973-06-01,91.0058
1973-07-01,92.5087
1973-08-01,92.6746
1973-09-01,91.8693
1973-10-01,92.2140
1973-11-01,91.9025
1973-12-01,93.1455
1974-01-01,92.9852
1974-02-01,93.0939
1974-03-01,92.3889
1974-04-01,92.2857
1974-05-01,93.0835
1974-06-01,91.7089
1974-07-01,92.3289
1974-08-01,89.8679
1974-09-01,91.0319
1974-10-01,91.8948
1974-11-01,85.3569
1974-12-01,87.5916
1975-01-01,92.3320
1975-02-01,91.1514
1975-03-01,89.3999
1975-04-01,89.1400
1975-05-01,88.8833
1975-06-01,90.3094
1975-07-01,88.0128
1975-08-01,88.7178
1975-09-01,88.3355
1975-10-01,88.5629
1975-11-01,89.6048
1975-12-01,89.7988
1976-01-01,91.4418
1976-02-01,90.9336
1976-03-01,89.8183
1976-04-01,89.3766
1976-05-01,89.5548
1976-06-01,88.9318
1976-07-01,88.0519
1976-08-01,89.1418
1976-09-01,89.3233
1976-10-01,88.9746
1976-11-01,89.4940
1976-12-01,90.4577
1977-01-01,87.5458
1977-02-01,90.3900
1977-03-01,91.8018
1977-04-01,91.2893
1977-05-01,91.0150
1977-06-01,90.0696
1977-07-01,90.2130
1977-08-01,87.8715
1977-09-01,90.6116
1977-10-01,90.2489
1977-11-01,90.6535
1977-12-01,82.8116
1978-01-01,80.7425
1978-02-01,81.2834
1978-03-01,85.1462
1978-04-01,93.1558
1978-05-01,92.5355
1978-06-01,92.2162
1978-07-01,92.9985
1978-08-01,91.9235
1978-09-01,90.2975
1978-10-01,92.3368
1978-11-01,92.0770
1978-12-01,91.3278
1979-01-01,90.2451
1979-02-01,90.1755
1979-03-01,90.3828
1979-04-01,91.4416
1979-05-01,90.8307
1979-06-01,90.8459
1979-07-01,89.8512
1979-08-01,91.7789
1979-09-01,91.3656
1979-10-01,92.5200
1979-11-01,92.7234
1979-12-01,92.4788
1980-01-01,94.0469
1980-02-01,92.8649
1980-03-01,93.5858
1980-04-01,92.3133
1980-05-01,92.1529
1980-06-01,91.6125
1980-07-01,89.9349
1980-08-01,88.0952
1980-09-01,89.6287
1980-10-01,89.1499
1980-11-01,90.5253
1980-12-01,92.1935
1981-01-01,90.7636
1981-02-01,91.4462
1981-03-01,92.0697
1981-04-01,87.2131
1981-05-01,87.4715
1981-06-01,90.7575
1981-07-01,93.1753
1981-08-01,93.3090
1981-09-01,92.3087
1981-10-01,91.4535
1981-11-01,90.3439
1981-12-01,90.0667
1982-01-01,88.7896
1982-02-01,89.5442
1982-03-01,88.6439
1982-04-01,86.6486
1982-05-01,85.1294
1982-06-01,83.8551
1982-07-01,82.5683
1982-08-01,81.8768
1982-09-01,81.0352
1982-10-01,80.7464
1982-11-01,80.5141
1982-12-01,79.5868
1983-01-01,80.3850
1983-02-01,78.8426
1983-03-01,77.9073
1983-04-01,78.7721
1983-05-01,78.4866
1983-06-01,78.7785
1983-07-01,79.3464
1983-08-01,80.1146
1983-09-01,80.7285
1983-10-01,81.6160
1983-11-01,81.6798
1983-12-01,80.8885
1984-01-01,84.7145
1984-02-01,83.8515
1984-03-01,83.2747
1984-04-01,85.0227
1984-05-01,86.3350
1984-06-01,86.7514
1984-07-01,88.3192
1984-08-01,87.4860
1984-09-01,88.0900
1984-10-01,85.2586
1984-11-01,85.3877
1984-12-01,85.5692
1985-01-01,83.5677
1985-02-01,85.2742
1985-03-01,85.3868
1985-04-01,85.1612
1985-05-01,85.2597
1985-06-01,85.3513
1985-07-01,83.7721
1985-08-01,83.5811
1985-09-01,84.4494
1985-10-01,83.7296
1985-11-01,82.5832
1985-12-01,84.1198
1986-01-01,83.7252
1986-02-01,82.5218
1986-03-01,80.2477
1986-04-01,77.6535
1986-05-01,77.1524
1986-06-01,76.1409
1986-07-01,75.9102
1986-08-01,75.1188
1986-09-01,74.6092
1986-10-01,75.3401
1986-11-01,76.2629
1986-12-01,76.4865
1987-01-01,77.4445
1987-02-01,77.6391
1987-03-01,77.5898
1987-04-01,78.3700
1987-05-01,78.3687
1987-06-01,79.3270
1987-07-01,79.7910
1987-08-01,81.6967
1987-09-01,82.1943
1987-10-01,83.0706
1987-11-01,83.7001
1987-12-01,83.8134
1988-01-01,82.8753
1988-02-01,83.2199
1988-03-01,83.9760
1988-04-01,83.7168
1988-05-01,84.5634
1988-06-01,84.5706
1988-07-01,84.4815
1988-08-01,84.8409
1988-09-01,83.8841
1988-10-01,84.1744
1988-11-01,84.3452
1988-12-01,84.8799
1989-01-01,84.5705
1989-02-01,83.2448
1989-03-01,84.0515
1989-04-01,85.8979
1989-05-01,86.3074
1989-06-01,85.3195
1989-07-01,84.9756
1989-08-01,85.8917
1989-09-01,85.9345
1989-10-01,85.2903
1989-11-01,85.9695
1989-12-01,83.7569
1990-01-01,87.6951
1990-02-01,86.9760
1990-03-01,86.3093
1990-04-01,86.6886
1990-05-01,86.5935
