DATE,CAPUTLG327S
1948-01-01,89.4730
1948-02-01,90.1171
1948-03-01,91.6309
1948-04-01,91.6643
1948-05-01,91.8585
1948-06-01,91.4097
1948-07-01,91.1258
1948-08-01,91.3197
1948-09-01,90.7261
1948-10-01,90.2962
1948-11-01,88.9422
1948-12-01,87.4304
1949-01-01,85.7798
1949-02-01,84.9087
1949-03-01,81.4326
1949-04-01,78.5861
1949-05-01,78.1778
1949-06-01,77.1691
1949-07-01,76.7679
1949-08-01,77.4176
1949-09-01,78.3616
1949-10-01,77.9605
1949-11-01,79.3415
1949-12-01,80.6521
1950-01-01,81.9522
1950-02-01,82.9491
1950-03-01,82.9996
1950-04-01,86.6794
1950-05-01,89.8916
1950-06-01,92.2111
1950-07-01,94.0797
1950-08-01,96.0740
1950-09-01,95.4959
1950-10-01,99.0194
1950-11-01,99.6988
1950-12-01,99.2392
1951-01-01,100.0377
1951-02-01,98.7486
1951-03-01,100.9096
1951-04-01,100.8521
1951-05-01,98.8805
1951-06-01,97.8800
1951-07-01,96.8885
1951-08-01,94.9621
1951-09-01,93.7244
1951-10-01,91.6960
1951-11-01,90.0850
1951-12-01,89.6657
1952-01-01,88.8523
1952-02-01,89.4938
1952-03-01,88.1436
1952-04-01,87.4550
1952-05-01,87.5553
1952-06-01,87.5245
1952-07-01,85.9267
1952-08-01,87.7238
1952-09-01,88.3433
1952-10-01,89.6099
1952-11-01,89.9646
1952-12-01,90.3921
1953-01-01,91.4627
1953-02-01,90.9838
1953-03-01,90.3242
1953-04-01,89.7967
1953-05-01,89.2722
1953-06-01,88.3693
1953-07-01,88.2325
1953-08-01,87.4646
1953-09-01,86.1971
1953-10-01,85.3142
1953-11-01,83.6847
1953-12-01,83.1889
1954-01-01,82.8206
1954-02-01,86.0556
1954-03-01,83.7001
1954-04-01,83.4570
1954-05-01,82.1074
1954-06-01,82.3613
1954-07-01,83.1033
1954-08-01,81.4002
1954-09-01,84.8179
1954-10-01,85.5465
1954-11-01,87.6019
1954-12-01,87.1603
1955-01-01,89.7177
1955-02-01,90.7001
1955-03-01,92.1837
1955-04-01,91.7664
1955-05-01,92.2884
1955-06-01,92.8029
1955-07-01,91.9297
1955-08-01,91.2971
1955-09-01,92.0350
1955-10-01,91.7483
1955-11-01,91.5775
1955-12-01,92.1006
1956-01-01,92.3954
1956-02-01,92.9045
1956-03-01,90.9330
1956-04-01,92.1149
1956-05-01,90.5025
1956-06-01,88.7047
1956-07-01,87.8811
1956-08-01,86.2374
1956-09-01,83.5868
1956-10-01,86.0008
1956-11-01,86.3428
1956-12-01,87.0012
1957-01-01,86.1451
1957-02-01,88.3926
1957-03-01,86.3666
1957-04-01,83.5703
1957-05-01,83.4556
1957-06-01,82.0702
1957-07-01,80.1142
1957-08-01,81.5678
1957-09-01,79.5366
1957-10-01,79.2519
1957-11-01,76.9647
1957-12-01,76.0909
1958-01-01,74.9397
1958-02-01,71.2496
1958-03-01,70.3703
1958-04-01,70.9970
1958-05-01,71.5264
1958-06-01,72.5185
1958-07-01,74.6197
1958-08-01,75.6890
1958-09-01,79.3379
1958-10-01,76.1508
1958-11-01,76.8385
1958-12-01,74.6784
1959-01-01,77.9145
1959-02-01,79.9483
1959-03-01,83.6852
1959-04-01,87.3083
1959-05-01,85.8631
1959-06-01,85.9539
1959-07-01,85.5068
1959-08-01,82.6526
1959-09-01,82.6635
1959-10-01,80.9889
1959-11-01,80.2974
1959-12-01,82.5904
1960-01-01,81.4422
1960-02-01,82.4030
1960-03-01,77.9299
1960-04-01,79.8363
1960-05-01,77.9161
1960-06-01,77.3910
1960-07-01,76.5252
1960-08-01,75.7509
