DATE,CAPUTLG337S
1967-01-01,93.3944
1967-02-01,93.5190
1967-03-01,91.6939
1967-04-01,92.3296
1967-05-01,92.3697
1967-06-01,91.2030
1967-07-01,89.5406
1967-08-01,91.5651
1967-09-01,92.5463
1967-10-01,90.5645
1967-11-01,92.2828
1967-12-01,91.9112
1968-01-01,92.5903
1968-02-01,92.3298
1968-03-01,91.4972
1968-04-01,91.5494
1968-05-01,92.2457
1968-06-01,90.6471
1968-07-01,90.3037
1968-08-01,92.8389
1968-09-01,89.8330
1968-10-01,89.6678
1968-11-01,90.2455
1968-12-01,91.8230
1969-01-01,94.0603
1969-02-01,92.4201
1969-03-01,94.0940
1969-04-01,92.5586
1969-05-01,92.4184
1969-06-01,93.1101
1969-07-01,94.0560
1969-08-01,92.1233
1969-09-01,91.1017
1969-10-01,91.8469
1969-11-01,89.9572
1969-12-01,91.2423
1970-01-01,86.3861
1970-02-01,84.8417
1970-03-01,85.2487
1970-04-01,83.9633
1970-05-01,82.6748
1970-06-01,83.3260
1970-07-01,81.9542
1970-08-01,81.8728
1970-09-01,83.3175
1970-10-01,84.4625
1970-11-01,82.3736
1970-12-01,82.5243
1971-01-01,82.3783
1971-02-01,82.1089
1971-03-01,80.6960
1971-04-01,82.6133
1971-05-01,82.5142
1971-06-01,83.4732
1971-07-01,83.2190
1971-08-01,84.1057
1971-09-01,85.1845
1971-10-01,86.2235
1971-11-01,88.5626
1971-12-01,90.0974
1972-01-01,91.6900
1972-02-01,91.3746
1972-03-01,91.2362
1972-04-01,92.3882
1972-05-01,92.2268
1972-06-01,92.4120
1972-07-01,93.8893
1972-08-01,94.1369
1972-09-01,94.0876
1972-10-01,95.8803
1972-11-01,96.4964
1972-12-01,96.8793
1973-01-01,94.7800
1973-02-01,96.7516
1973-03-01,96.8603
1973-04-01,96.1701
1973-05-01,95.0633
1973-06-01,95.5705
1973-07-01,95.0053
1973-08-01,94.4134
1973-09-01,93.6234
1973-10-01,92.9159
1973-11-01,92.3269
1973-12-01,91.9896
1974-01-01,91.6814
1974-02-01,88.7252
1974-03-01,88.5690
1974-04-01,87.0358
1974-05-01,86.7491
1974-06-01,85.9826
1974-07-01,84.0642
1974-08-01,83.2224
1974-09-01,81.0275
1974-10-01,78.1573
1974-11-01,74.2326
1974-12-01,72.3090
1975-01-01,65.9568
1975-02-01,63.0334
1975-03-01,62.7895
1975-04-01,64.4648
1975-05-01,67.1862
1975-06-01,68.3090
1975-07-01,70.1260
1975-08-01,73.1166
1975-09-01,74.8151
1975-10-01,74.6072
1975-11-01,75.6256
1975-12-01,75.8003
1976-01-01,76.9668
1976-02-01,76.9674
1976-03-01,75.7520
1976-04-01,75.9290
1976-05-01,76.0531
1976-06-01,75.0501
1976-07-01,77.0896
1976-08-01,76.2743
1976-09-01,76.8634
1976-10-01,76.3903
1976-11-01,76.1615
1976-12-01,76.5585
1977-01-01,78.0240
1977-02-01,80.9733
1977-03-01,82.8886
1977-04-01,82.0262
1977-05-01,83.6951
1977-06-01,84.6848
1977-07-01,86.7387
1977-08-01,86.0973
1977-09-01,86.9907
1977-10-01,87.8333
1977-11-01,87.3648
1977-12-01,88.2752
1978-01-01,85.5854
1978-02-01,88.1414
1978-03-01,87.0621
1978-04-01,87.6962
1978-05-01,87.5669
1978-06-01,86.9071
1978-07-01,85.6011
1978-08-01,85.7655
1978-09-01,84.8902
1978-10-01,85.3754
1978-11-01,84.9510
1978-12-01,83.4978
1979-01-01,83.3378
1979-02-01,82.3253
1979-03-01,82.5592
1979-04-01,81.3293
1979-05-01,81.2169
1979-06-01,78.8469
1979-07-01,79.1084
1979-08-01,79.2945
1979-09-01,79.5253
1979-10-01,80.7875
1979-11-01,80.9049
1979-12-01,82.3473
1980-01-01,82.0113
1980-02-01,80.5867
1980-03-01,79.2209
1980-04-01,77.9890
1980-05-01,74.4241
1980-06-01,71.6616
1980-07-01,69.3662
1980-08-01,70.6835
1980-09-01,72.9574
1980-10-01,73.1329
1980-11-01,73.6825
1980-12-01,74.0994
1981-01-01,72.8286
1981-02-01,72.1170
1981-03-01,72.7877
1981-04-01,73.5584
1981-05-01,73.5804
1981-06-01,73.4857
1981-07-01,73.1504
1981-08-01,71.5794
1981-09-01,71.4305
1981-10-01,70.2023
1981-11-01,68.6080
1981-12-01,67.8142
1982-01-01,65.1927
1982-02-01,67.5167
1982-03-01,67.5445
1982-04-01,66.9062
1982-05-01,66.4957
1982-06-01,66.3045
1982-07-01,66.1998
1982-08-01,67.4129
1982-09-01,66.8471
1982-10-01,65.0418
1982-11-01,64.8771
