DATE,CAPUTLG321S
1972-01-01,93.0793
1972-02-01,91.4339
1972-03-01,90.0150
1972-04-01,91.9123
1972-05-01,90.9346
1972-06-01,91.0477
1972-07-01,93.5624
1972-08-01,90.7704
1972-09-01,91.9475
1972-10-01,95.0443
1972-11-01,94.8578
1972-12-01,91.3597
1973-01-01,91.3719
1973-02-01,91.8312
1973-03-01,91.0421
1973-04-01,87.8652
1973-05-01,86.2642
1973-06-01,86.7105
1973-07-01,86.1000
1973-08-01,86.1714
1973-09-01,87.2275
1973-10-01,85.8152
1973-11-01,86.5462
1973-12-01,87.3305
1974-01-01,82.3904
1974-02-01,84.4331
1974-03-01,84.4407
1974-04-01,84.5397
1974-05-01,83.0230
1974-06-01,82.7496
1974-07-01,79.0389
1974-08-01,77.7488
1974-09-01,75.1477
1974-10-01,69.7279
1974-11-01,66.9922
1974-12-01,63.8842
1975-01-01,62.9533
1975-02-01,64.4511
1975-03-01,64.4908
1975-04-01,65.7929
1975-05-01,68.8842
1975-06-01,70.7123
1975-07-01,72.3236
1975-08-01,73.2456
1975-09-01,73.5106
1975-10-01,74.5284
1975-11-01,74.6299
1975-12-01,73.9199
1976-01-01,78.8954
1976-02-01,79.1734
1976-03-01,76.6634
1976-04-01,77.7518
1976-05-01,78.8469
1976-06-01,76.7674
1976-07-01,79.6954
1976-08-01,80.5073
1976-09-01,79.9561
1976-10-01,82.0135
1976-11-01,81.0081
1976-12-01,82.2077
1977-01-01,82.4187
1977-02-01,82.8669
1977-03-01,83.8278
1977-04-01,84.2089
1977-05-01,85.9724
1977-06-01,85.3934
1977-07-01,87.0740
1977-08-01,87.0594
1977-09-01,87.7035
1977-10-01,88.2951
1977-11-01,86.9414
1977-12-01,90.3561
1978-01-01,86.7753
1978-02-01,85.5698
1978-03-01,85.4923
1978-04-01,86.0376
1978-05-01,85.3671
1978-06-01,85.8160
1978-07-01,84.8781
1978-08-01,82.6128
1978-09-01,82.3233
1978-10-01,82.8666
1978-11-01,84.0786
1978-12-01,85.9108
1979-01-01,80.1593
1979-02-01,80.0425
1979-03-01,80.6797
1979-04-01,79.7710
1979-05-01,79.7995
1979-06-01,79.8627
1979-07-01,79.3736
1979-08-01,80.4123
1979-09-01,80.5969
1979-10-01,80.3822
1979-11-01,78.8578
1979-12-01,77.8208
1980-01-01,78.1602
1980-02-01,78.4414
1980-03-01,77.1732
1980-04-01,63.0782
1980-05-01,62.9791
1980-06-01,66.0175
1980-07-01,67.6115
1980-08-01,72.7800
1980-09-01,73.1789
1980-10-01,74.3709
1980-11-01,78.4026
1980-12-01,76.0360
1981-01-01,76.6589
1981-02-01,75.1987
1981-03-01,75.4813
1981-04-01,75.9798
1981-05-01,76.3856
1981-06-01,72.1926
1981-07-01,72.1859
1981-08-01,71.4534
1981-09-01,66.3266
1981-10-01,64.6065
1981-11-01,60.9900
1981-12-01,60.1281
1982-01-01,59.5823
1982-02-01,62.3170
1982-03-01,61.2010
1982-04-01,62.5971
1982-05-01,63.8966
1982-06-01,63.8729
1982-07-01,65.8879
1982-08-01,65.6138
1982-09-01,64.6648
1982-10-01,64.6418
1982-11-01,66.0287
1982-12-01,65.3888
1983-01-01,71.5683
1983-02-01,70.7202
1983-03-01,69.3577
1983-04-01,71.1020
1983-05-01,73.9517
1983-06-01,74.9833
1983-07-01,77.8129
1983-08-01,76.4421
1983-09-01,77.5736
1983-10-01,79.6459
1983-11-01,79.3720
1983-12-01,79.6225
1984-01-01,80.5746
1984-02-01,81.2262
1984-03-01,82.2150
1984-04-01,82.8716
1984-05-01,80.5866
1984-06-01,82.2485
1984-07-01,81.7825
1984-08-01,80.7686
1984-09-01,81.3521
1984-10-01,79.7888
1984-11-01,79.9372
1984-12-01,80.2493
1985-01-01,77.6200
1985-02-01,77.3099
1985-03-01,78.7489
1985-04-01,79.1762
1985-05-01,79.6220
1985-06-01,80.5437
1985-07-01,79.8617
1985-08-01,81.6594
1985-09-01,80.8306
1985-10-01,81.1507
1985-11-01,80.6661
1985-12-01,78.6972
1986-01-01,82.0929
1986-02-01,82.2513
1986-03-01,82.6569
1986-04-01,83.3278
1986-05-01,83.6211
1986-06-01,83.0507
1986-07-01,82.4692
1986-08-01,85.0190
1986-09-01,85.0811
1986-10-01,84.9718
1986-11-01,85.2753
1986-12-01,84.3311
1987-01-01,85.6534
1987-02-01,85.8554
