DATE,CAPUTLG325S
1948-01-01,84.9742
1948-02-01,84.0457
1948-03-01,84.0393
1948-04-01,82.6135
1948-05-01,82.9027
1948-06-01,83.7426
1948-07-01,82.9131
1948-08-01,81.8270
1948-09-01,81.3024
1948-10-01,80.2528
1948-11-01,79.2231
1948-12-01,77.5436
1949-01-01,76.6729
1949-02-01,76.0745
1949-03-01,73.5409
1949-04-01,72.0610
1949-05-01,71.1072
1949-06-01,70.6700
1949-07-01,69.7365
1949-08-01,71.8062
1949-09-01,73.3554
1949-10-01,74.6394
1949-11-01,75.1736
1949-12-01,75.8914
1950-01-01,77.0830
1950-02-01,78.4990
1950-03-01,80.0797
1950-04-01,81.8745
1950-05-01,83.6438
1950-06-01,84.4551
1950-07-01,86.1817
1950-08-01,88.1144
1950-09-01,88.6497
1950-10-01,89.1775
1950-11-01,89.2474
1950-12-01,89.9413
1951-01-01,88.8480
1951-02-01,89.9758
1951-03-01,90.6037
1951-04-01,89.7017
1951-05-01,89.6754
1951-06-01,90.0775
1951-07-01,89.4118
1951-08-01,87.9125
1951-09-01,86.0164
1951-10-01,85.3945
1951-11-01,85.6065
1951-12-01,85.3959
1952-01-01,86.4082
1952-02-01,85.3873
1952-03-01,84.3712
1952-04-01,83.9664
1952-05-01,83.1723
1952-06-01,82.9779
1952-07-01,84.1497
1952-08-01,83.9513
1952-09-01,84.5239
1952-10-01,85.6611
1952-11-01,85.0775
1952-12-01,84.8595
1953-01-01,84.4578
1953-02-01,85.1750
1953-03-01,85.6797
1953-04-01,86.5434
1953-05-01,86.8498
1953-06-01,85.8891
1953-07-01,86.0167
1953-08-01,84.3627
1953-09-01,83.0847
1953-10-01,81.9995
1953-11-01,81.1033
1953-12-01,79.0775
1954-01-01,78.4542
1954-02-01,79.0383
1954-03-01,79.3454
1954-04-01,78.6306
1954-05-01,78.5986
1954-06-01,78.5669
1954-07-01,79.0378
1954-08-01,78.8377
1954-09-01,80.1327
1954-10-01,80.7551
1954-11-01,81.2075
1954-12-01,82.3020
1955-01-01,83.2199
1955-02-01,84.4482
1955-03-01,86.2848
1955-04-01,85.8721
1955-05-01,86.4091
1955-06-01,86.4697
