DATE,CAPUTLG2211A2S
1967-01-01,95.3850
1967-02-01,95.0364
1967-03-01,93.6159
1967-04-01,96.9098
1967-05-01,95.3216
1967-06-01,93.8582
1967-07-01,93.7531
1967-08-01,91.8658
1967-09-01,92.0501
1967-10-01,95.3812
1967-11-01,94.9170
1967-12-01,96.2382
1968-01-01,95.2960
1968-02-01,94.2971
1968-03-01,95.3303
1968-04-01,94.8060
1968-05-01,95.4276
1968-06-01,95.9263
1968-07-01,94.3988
1968-08-01,94.6242
1968-09-01,95.5470
1968-10-01,94.9348
1968-11-01,94.9962
1968-12-01,97.7810
1969-01-01,96.6201
1969-02-01,96.7525
1969-03-01,97.2863
1969-04-01,96.2666
1969-05-01,95.8144
1969-06-01,97.0921
1969-07-01,98.1016
1969-08-01,98.0666
1969-09-01,96.5259
1969-10-01,96.7399
1969-11-01,97.6607
1969-12-01,97.1411
1970-01-01,96.7940
1970-02-01,96.2084
1970-03-01,96.9263
1970-04-01,96.9341
1970-05-01,98.1810
1970-06-01,95.6788
1970-07-01,96.5806
1970-08-01,97.3155
1970-09-01,97.3444
1970-10-01,95.3676
1970-11-01,95.2566
1970-12-01,94.6364
1971-01-01,96.4893
1971-02-01,95.4253
1971-03-01,95.7571
1971-04-01,95.5990
1971-05-01,95.9519
1971-06-01,96.2422
1971-07-01,95.3274
1971-08-01,94.0732
1971-09-01,94.1648
1971-10-01,95.0653
1971-11-01,93.2678
1971-12-01,92.2966
1972-01-01,93.5433
1972-02-01,97.5575
1972-03-01,97.6169
1972-04-01,96.9286
1972-05-01,95.2985
1972-06-01,94.2261
1972-07-01,92.8344
1972-08-01,94.2936
1972-09-01,94.8875
1972-10-01,95.3691
1972-11-01,96.2338
1972-12-01,95.6319
1973-01-01,95.6857
1973-02-01,95.7015
1973-03-01,94.3178
1973-04-01,93.8365
1973-05-01,94.0771
1973-06-01,94.4602
1973-07-01,92.6163
1973-08-01,92.7202
1973-09-01,94.4528
1973-10-01,93.1852
1973-11-01,91.1179
1973-12-01,85.4472
1974-01-01,85.2628
1974-02-01,85.1703
1974-03-01,86.5917
1974-04-01,87.2342
1974-05-01,87.9892
1974-06-01,86.8358
1974-07-01,88.4458
1974-08-01,87.4149
1974-09-01,86.0044
1974-10-01,87.9477
1974-11-01,85.8482
1974-12-01,85.6524
1975-01-01,83.7466
1975-02-01,84.7293
1975-03-01,86.4327
1975-04-01,88.4346
1975-05-01,86.5838
1975-06-01,84.2612
1975-07-01,85.1746
1975-08-01,85.6594
1975-09-01,84.9648
1975-10-01,84.4376
1975-11-01,83.1646
1975-12-01,84.3396
1976-01-01,86.0204
1976-02-01,83.9748
1976-03-01,84.3041
1976-04-01,84.6430
1976-05-01,84.1484
1976-06-01,84.6399
1976-07-01,84.7233
1976-08-01,84.8191
1976-09-01,85.2950
1976-10-01,85.9637
1976-11-01,89.6898
1976-12-01,90.2007
1977-01-01,89.2841
1977-02-01,86.1651
1977-03-01,84.7077
1977-04-01,85.6219
1977-05-01,86.8290
1977-06-01,87.8211
1977-07-01,88.7001
1977-08-01,87.1022
1977-09-01,87.2691
1977-10-01,87.1218
1977-11-01,85.8107
1977-12-01,86.9268
1978-01-01,86.8921
1978-02-01,88.1130
1978-03-01,87.7468
1978-04-01,85.4238
1978-05-01,86.8868
1978-06-01,87.6222
1978-07-01,86.3372
1978-08-01,87.3956
1978-09-01,87.9457
1978-10-01,87.1792
1978-11-01,87.3352
1978-12-01,87.0555
1979-01-01,88.6899
1979-02-01,91.3192
1979-03-01,89.6364
1979-04-01,90.1879
1979-05-01,87.7300
1979-06-01,86.3429
1979-07-01,84.5482
1979-08-01,85.7376
1979-09-01,84.9424
1979-10-01,86.0216
1979-11-01,86.4264
1979-12-01,84.6691
1980-01-01,83.1592
1980-02-01,86.0324
1980-03-01,87.5100
1980-04-01,84.7824
1980-05-01,83.2564
1980-06-01,83.0644
1980-07-01,85.9868
1980-08-01,86.2377
1980-09-01,87.1331
1980-10-01,86.2039
1980-11-01,86.3373
1980-12-01,86.5189
1981-01-01,85.0859
1981-02-01,82.7312
1981-03-01,83.9085
1981-04-01,83.7765
1981-05-01,84.8014
1981-06-01,86.7348
1981-07-01,86.3155
1981-08-01,84.4101
1981-09-01,83.0652
1981-10-01,83.9379
1981-11-01,83.0529
1981-12-01,84.5316
1982-01-01,84.2720
1982-02-01,81.8146
1982-03-01,81.7073
1982-04-01,81.6764
1982-05-01,79.3539
1982-06-01,79.5208
1982-07-01,79.3830
1982-08-01,78.3069
1982-09-01,78.4742
1982-10-01,78.6033
1982-11-01,79.5564
1982-12-01,77.0402
1983-01-01,76.7873
1983-02-01,74.7244
1983-03-01,77.3630
1983-04-01,78.7282
1983-05-01,77.1732
1983-06-01,76.8368
1983-07-01,79.3535
1983-08-01,82.4412
1983-09-01,82.0973
1983-10-01,80.6355
1983-11-01,80.9555
1983-12-01,84.5470
1984-01-01,84.0462
1984-02-01,82.0617
1984-03-01,83.8656
1984-04-01,83.2056
1984-05-01,83.7643
1984-06-01,83.0999
1984-07-01,80.6370
1984-08-01,81.2842
1984-09-01,80.2403
1984-10-01,79.9965
1984-11-01,80.8317
1984-12-01,79.2969
1985-01-01,82.4554
1985-02-01,85.1449
1985-03-01,81.0706
1985-04-01,81.7031
1985-05-01,81.3790
1985-06-01,80.5135
1985-07-01,80.6626
1985-08-01,80.3538
1985-09-01,81.7794
1985-10-01,80.9125
1985-11-01,80.6453
1985-12-01,84.3523
1986-01-01,81.5547
1986-02-01,80.7254
1986-03-01,79.4531
1986-04-01,79.8293
1986-05-01,80.6215
1986-06-01,80.9684
1986-07-01,82.3034
1986-08-01,80.1588
1986-09-01,80.8146
1986-10-01,81.2186
1986-11-01,81.1444
1986-12-01,82.1794
1987-01-01,80.8949
1987-02-01,81.5722
1987-03-01,82.3462
1987-04-01,83.0359
1987-05-01,83.5505
1987-06-01,84.3947
