DATE,CAPUTLG339S
1972-01-01,78.1470
1972-02-01,78.3188
1972-03-01,78.3569
1972-04-01,79.1423
1972-05-01,79.2415
1972-06-01,80.0272
1972-07-01,80.2676
1972-08-01,81.7762
1972-09-01,81.7119
1972-10-01,82.0726
1972-11-01,82.4168
1972-12-01,81.4179
1973-01-01,81.4965
1973-02-01,81.7010
1973-03-01,81.1426
1973-04-01,80.5547
1973-05-01,80.1592
1973-06-01,78.9361
1973-07-01,79.2460
1973-08-01,79.0717
1973-09-01,78.5878
1973-10-01,78.2066
1973-11-01,77.9320
1973-12-01,77.1674
1974-01-01,77.0164
1974-02-01,76.0051
1974-03-01,75.7373
1974-04-01,74.6806
1974-05-01,75.4225
1974-06-01,75.3679
1974-07-01,75.5385
1974-08-01,75.6333
1974-09-01,74.4509
1974-10-01,73.9741
1974-11-01,71.7384
1974-12-01,69.4938
1975-01-01,68.3473
1975-02-01,65.9760
1975-03-01,64.4782
1975-04-01,65.2997
1975-05-01,65.2846
1975-06-01,65.7929
1975-07-01,67.9666
1975-08-01,68.4429
1975-09-01,69.6754
1975-10-01,70.4587
1975-11-01,69.8274
1975-12-01,70.1141
1976-01-01,71.0961
1976-02-01,70.4461
1976-03-01,70.6111
1976-04-01,70.9651
1976-05-01,72.4240
1976-06-01,71.9648
1976-07-01,72.6201
1976-08-01,72.7389
1976-09-01,73.3669
1976-10-01,73.6778
1976-11-01,74.0549
1976-12-01,74.8463
1977-01-01,74.3351
1977-02-01,76.7946
1977-03-01,76.6146
1977-04-01,77.1604
1977-05-01,78.1490
1977-06-01,78.3807
1977-07-01,77.6162
1977-08-01,78.6862
1977-09-01,78.5127
1977-10-01,78.5437
1977-11-01,78.2096
1977-12-01,78.4993
1978-01-01,77.2107
1978-02-01,77.3627
1978-03-01,78.3407
1978-04-01,78.7999
1978-05-01,78.8973
1978-06-01,79.2652
1978-07-01,78.8927
1978-08-01,79.2294
1978-09-01,79.5620
1978-10-01,79.4156
1978-11-01,79.4303
1978-12-01,78.7416
1979-01-01,79.6602
1979-02-01,79.0718
1979-03-01,78.9538
1979-04-01,77.3509
1979-05-01,78.1071
1979-06-01,78.7143
1979-07-01,78.4596
1979-08-01,78.6552
1979-09-01,78.3446
1979-10-01,78.0291
1979-11-01,78.0907
1979-12-01,77.7254
1980-01-01,77.9217
1980-02-01,76.6113
1980-03-01,75.9861
1980-04-01,75.4887
1980-05-01,72.9247
1980-06-01,71.2474
