DATE,CAPUTLG311A2S
1989-02-01,84.4429
1989-03-01,84.1882
1989-04-01,84.7703
1989-05-01,83.9985
1989-06-01,84.4943
1989-07-01,81.9044
1989-08-01,83.1961
1989-09-01,81.8356
1989-10-01,83.0597
1989-11-01,83.5118
1989-12-01,83.8707
1990-01-01,83.4216
1990-02-01,83.9960
1990-03-01,84.2800
1990-04-01,83.9076
1990-05-01,83.5660
1990-06-01,83.6967
1990-07-01,83.5333
1990-08-01,83.6559
1990-09-01,83.9582
1990-10-01,83.5889
1990-11-01,85.2028
1990-12-01,84.4720
1991-01-01,83.9826
1991-02-01,83.8119
1991-03-01,82.7139
1991-04-01,81.9319
1991-05-01,83.8172
1991-06-01,83.6228
1991-07-01,82.8072
1991-08-01,82.6374
1991-09-01,83.5860
1991-10-01,83.7313
1991-11-01,82.4802
1991-12-01,81.2553
1992-01-01,82.5283
1992-02-01,82.0189
1992-03-01,82.7840
1992-04-01,82.8223
1992-05-01,82.6866
1992-06-01,82.4209
1992-07-01,82.8847
1992-08-01,83.7000
1992-09-01,82.6611
1992-10-01,82.7312
1992-11-01,82.5132
1992-12-01,80.9858
1993-01-01,82.1105
1993-02-01,82.0606
1993-03-01,81.0227
1993-04-01,80.8746
1993-05-01,80.6681
1993-06-01,80.6779
1993-07-01,81.2861
1993-08-01,81.4052
1993-09-01,80.6337
1993-10-01,80.5187
1993-11-01,80.6600
1993-12-01,81.1372
1994-01-01,80.9388
1994-02-01,81.3746
1994-03-01,82.5951
1994-04-01,82.6153
1994-05-01,82.7486
1994-06-01,82.6984
1994-07-01,82.7155
1994-08-01,83.9432
1994-09-01,84.0355
1994-10-01,85.1602
1994-11-01,85.1736
1994-12-01,85.1286
1995-01-01,84.7331
1995-02-01,84.3241
1995-03-01,84.3940
1995-04-01,84.2138
1995-05-01,84.4590
1995-06-01,85.2873
1995-07-01,85.0798
1995-08-01,84.4989
1995-09-01,84.0259
1995-10-01,83.7711
1995-11-01,83.6247
1995-12-01,83.4116
1996-01-01,81.9921
1996-02-01,82.9844
1996-03-01,83.3146
1996-04-01,82.8327
1996-05-01,82.2523
1996-06-01,82.7975
1996-07-01,82.1264
1996-08-01,81.4203
1996-09-01,82.8200
1996-10-01,81.5842
1996-11-01,82.4922
1996-12-01,82.2295
1997-01-01,82.0993
1997-02-01,82.1771
1997-03-01,83.4684
1997-04-01,81.4786
1997-05-01,81.4971
1997-06-01,80.9955
1997-07-01,82.2967
1997-08-01,82.3562
1997-09-01,82.5706
1997-10-01,83.8094
1997-11-01,83.2211
1997-12-01,83.0120
1998-01-01,84.5052
1998-02-01,84.1241
1998-03-01,82.9830
1998-04-01,84.3644
1998-05-01,84.2934
1998-06-01,82.9969
1998-07-01,83.1386
1998-08-01,82.8667
1998-09-01,81.6844
1998-10-01,81.4220
1998-11-01,80.9849
1998-12-01,80.0281
1999-01-01,80.5852
1999-02-01,81.1355
1999-03-01,79.4282
1999-04-01,78.2772
1999-05-01,79.6012
1999-06-01,77.6925
1999-07-01,76.5711
1999-08-01,76.8713
1999-09-01,76.0822
1999-10-01,77.5589
1999-11-01,78.0584
1999-12-01,78.8629
2000-01-01,76.9532
2000-02-01,77.4841
2000-03-01,77.5310
2000-04-01,77.2865
2000-05-01,76.8241
2000-06-01,77.1550
2000-07-01,77.8963
2000-08-01,76.8257
2000-09-01,77.5789
2000-10-01,76.7397
2000-11-01,77.4862
2000-12-01,78.2670
2001-01-01,77.6103
2001-02-01,76.5862
2001-03-01,75.7637
2001-04-01,76.5545
2001-05-01,76.3253
2001-06-01,76.9182
2001-07-01,75.3860
2001-08-01,75.6041
2001-09-01,75.6561
2001-10-01,75.9623
2001-11-01,76.0846
2001-12-01,76.1472
2002-01-01,76.0832
2002-02-01,75.6962
2002-03-01,76.2926
2002-04-01,75.2670
2002-05-01,75.0815
2002-06-01,75.7332
2002-07-01,74.5203
2002-08-01,75.1965
2002-09-01,75.3232
2002-10-01,75.4115
2002-11-01,74.7795
2002-12-01,75.0632
2003-01-01,76.2157
2003-02-01,76.7189
2003-03-01,77.7619
2003-04-01,77.6201
2003-05-01,77.2599
2003-06-01,77.3340
2003-07-01,77.2792
2003-08-01,77.0278
2003-09-01,77.4293
2003-10-01,77.0160
2003-11-01,77.0652
2003-12-01,76.7435
2004-01-01,76.3814
2004-02-01,77.0181
2004-03-01,76.1897
2004-04-01,77.1634
2004-05-01,78.1883
2004-06-01,76.7177
2004-07-01,77.0652
2004-08-01,77.6402
2004-09-01,77.5046
2004-10-01,77.4871
2004-11-01,77.4634
2004-12-01,77.4471
2005-01-01,79.0534
2005-02-01,78.5547
2005-03-01,77.8049
2005-04-01,77.8490
2005-05-01,78.8969
2005-06-01,79.5272
2005-07-01,79.6262
2005-08-01,79.7153
2005-09-01,79.0738
2005-10-01,79.7884
2005-11-01,79.6380
2005-12-01,80.5702
