DATE,CAPUTLHITEK2S
1986-04-01,71.8889
1986-05-01,72.1688
1986-06-01,69.7393
1986-07-01,73.5540
1986-08-01,74.0983
1986-09-01,74.3244
1986-10-01,74.4185
1986-11-01,74.8328
1986-12-01,75.6962
1987-01-01,76.4374
1987-02-01,76.8932
1987-03-01,75.7118
1987-04-01,76.4246
1987-05-01,76.7744
1987-06-01,76.8388
1987-07-01,77.5177
1987-08-01,78.4029
1987-09-01,78.6890
1987-10-01,79.2840
1987-11-01,79.0388
1987-12-01,79.6413
1988-01-01,78.7800
1988-02-01,78.1590
1988-03-01,78.4302
1988-04-01,79.2178
1988-05-01,79.5839
1988-06-01,80.1880
1988-07-01,80.7101
1988-08-01,80.7099
1988-09-01,80.7592
1988-10-01,81.3416
1988-11-01,80.7760
1988-12-01,80.6732
1989-01-01,80.0444
1989-02-01,79.1821
1989-03-01,78.0906
1989-04-01,78.4993
1989-05-01,77.2817
1989-06-01,77.1449
1989-07-01,77.8609
1989-08-01,78.2214
1989-09-01,77.5385
1989-10-01,78.2079
1989-11-01,78.0893
1989-12-01,77.9451
1990-01-01,78.1810
1990-02-01,77.9353
1990-03-01,77.8943
1990-04-01,77.3286
1990-05-01,77.3513
1990-06-01,77.3039
1990-07-01,76.8607
1990-08-01,76.4426
1990-09-01,76.8624
1990-10-01,76.4501
1990-11-01,76.2886
1990-12-01,76.2349
1991-01-01,75.6987
1991-02-01,76.6697
1991-03-01,77.2384
1991-04-01,77.1013
1991-05-01,78.2376
1991-06-01,78.7355
1991-07-01,78.5362
1991-08-01,79.0227
1991-09-01,78.8380
1991-10-01,78.2043
1991-11-01,78.3196
1991-12-01,79.5784
1992-01-01,80.3126
1992-02-01,80.0121
1992-03-01,79.7778
1992-04-01,80.2938
1992-05-01,80.1393
1992-06-01,80.4244
1992-07-01,80.3473
1992-08-01,79.5913
1992-09-01,79.8078
1992-10-01,81.0382
1992-11-01,81.5506
1992-12-01,80.8338
1993-01-01,80.1943
1993-02-01,80.3643
1993-03-01,80.7465
1993-04-01,80.9857
1993-05-01,81.0030
1993-06-01,80.8536
1993-07-01,80.3196
1993-08-01,80.2104
1993-09-01,80.7798
1993-10-01,81.1872
1993-11-01,81.4448
1993-12-01,81.0729
1994-01-01,80.5903
1994-02-01,79.4889
1994-03-01,80.6946
1994-04-01,82.1413
1994-05-01,82.5420
1994-06-01,81.9525
1994-07-01,81.9090
1994-08-01,82.7064
1994-09-01,83.8736
1994-10-01,85.2143
1994-11-01,85.6390
1994-12-01,85.6843
1995-01-01,84.3211
1995-02-01,83.2252
1995-03-01,84.2276
1995-04-01,84.5257
1995-05-01,85.1486
1995-06-01,85.0601
1995-07-01,83.8809
1995-08-01,84.8565
1995-09-01,86.0681
1995-10-01,86.2069
1995-11-01,85.3148
1995-12-01,85.6579
1996-01-01,85.5199
1996-02-01,86.2113
1996-03-01,85.0661
1996-04-01,83.4798
1996-05-01,82.7841
1996-06-01,82.4544
