DATE,CAPUTLG313A4S
1972-01-01,88.6025
1972-02-01,88.3066
1972-03-01,88.1365
1972-04-01,88.9718
1972-05-01,89.2189
1972-06-01,87.8930
1972-07-01,88.2713
1972-08-01,88.5474
1972-09-01,88.1456
1972-10-01,90.0742
1972-11-01,89.6965
1972-12-01,89.8062
1973-01-01,88.3904
1973-02-01,89.6267
1973-03-01,89.0823
1973-04-01,88.0323
1973-05-01,86.8258
1973-06-01,86.3322
1973-07-01,85.6207
1973-08-01,84.8049
1973-09-01,84.4732
1973-10-01,83.9982
1973-11-01,84.0552
1973-12-01,83.8921
1974-01-01,83.3190
1974-02-01,81.6172
1974-03-01,80.6216
1974-04-01,79.2764
1974-05-01,79.0692
1974-06-01,78.7156
1974-07-01,78.1521
1974-08-01,76.7672
1974-09-01,74.2829
1974-10-01,71.4365
1974-11-01,68.3534
1974-12-01,65.0372
1975-01-01,62.4136
1975-02-01,63.1404
1975-03-01,65.0002
1975-04-01,66.8539
1975-05-01,69.4332
1975-06-01,72.7197
1975-07-01,75.4632
1975-08-01,77.1346
1975-09-01,79.3325
1975-10-01,79.4515
1975-11-01,79.6412
1975-12-01,81.4568
1976-01-01,81.4497
1976-02-01,82.9549
1976-03-01,82.1959
1976-04-01,81.3688
1976-05-01,81.4130
1976-06-01,80.7299
1976-07-01,81.2529
1976-08-01,81.5712
1976-09-01,81.2587
1976-10-01,81.3286
1976-11-01,81.3237
1976-12-01,82.6273
1977-01-01,83.9391
1977-02-01,86.7752
1977-03-01,87.8218
1977-04-01,89.1433
1977-05-01,89.6594
1977-06-01,89.9245
1977-07-01,89.7925
1977-08-01,89.4832
1977-09-01,89.9629
1977-10-01,90.2126
1977-11-01,90.5442
1977-12-01,89.9608
1978-01-01,88.4145
1978-02-01,87.9462
1978-03-01,87.9115
1978-04-01,88.4559
1978-05-01,88.7038
1978-06-01,88.0624
1978-07-01,87.8633
1978-08-01,87.2005
1978-09-01,87.6765
1978-10-01,87.7831
1978-11-01,88.8523
1978-12-01,88.4455
1979-01-01,87.3984
1979-02-01,85.6149
1979-03-01,86.9332
1979-04-01,85.5710
1979-05-01,87.3847
1979-06-01,88.9186
1979-07-01,89.9905
1979-08-01,88.0092
1979-09-01,87.8712
1979-10-01,88.1906
1979-11-01,87.5309
1979-12-01,87.9234
1980-01-01,89.5677
1980-02-01,88.9847
1980-03-01,88.5314
1980-04-01,85.8017
1980-05-01,82.5750
1980-06-01,80.1721
1980-07-01,78.4611
1980-08-01,79.1411
1980-09-01,80.3714
1980-10-01,82.0660
1980-11-01,83.8727
1980-12-01,84.0308
1981-01-01,82.1767
1981-02-01,80.8527
1981-03-01,80.2115
1981-04-01,80.3220
1981-05-01,81.4603
1981-06-01,82.2729
1981-07-01,83.5290
1981-08-01,82.8210
1981-09-01,82.0437
1981-10-01,80.1563
1981-11-01,77.5141
1981-12-01,75.4632
1982-01-01,72.1405
1982-02-01,75.4209
1982-03-01,75.0684
1982-04-01,75.5588
1982-05-01,74.7932
1982-06-01,74.3628
1982-07-01,74.1056
1982-08-01,73.9966
1982-09-01,73.8990
1982-10-01,74.1946
1982-11-01,74.5358
1982-12-01,75.1172
1983-01-01,77.8823
1983-02-01,79.5733
1983-03-01,81.5126
1983-04-01,82.5223
1983-05-01,83.7091
1983-06-01,84.1934
1983-07-01,84.1209
1983-08-01,86.8187
1983-09-01,87.0759
1983-10-01,86.7408
1983-11-01,87.1468
1983-12-01,87.7719
1984-01-01,87.9395
1984-02-01,87.9858
1984-03-01,87.8239
1984-04-01,88.2291
1984-05-01,87.6557
1984-06-01,86.9472
1984-07-01,86.3336
1984-08-01,85.1683
1984-09-01,84.6678
1984-10-01,83.1623
1984-11-01,82.5984
1984-12-01,81.4165
1985-01-01,81.2023
1985-02-01,81.1270
1985-03-01,81.4811
1985-04-01,81.1389
1985-05-01,81.2449
1985-06-01,81.5833
1985-07-01,80.3220
1985-08-01,81.4731
1985-09-01,81.7806
1985-10-01,82.3527
1985-11-01,82.7968
1985-12-01,82.6277
1986-01-01,82.3012
1986-02-01,82.4272
1986-03-01,82.6103
1986-04-01,82.0128
1986-05-01,82.5662
1986-06-01,82.7441
1986-07-01,83.3536
1986-08-01,84.5823
1986-09-01,85.2453
1986-10-01,86.0537
1986-11-01,88.2310
1986-12-01,88.4822
1987-01-01,88.7315
1987-02-01,89.9526
1987-03-01,90.2589
1987-04-01,89.6301
1987-05-01,90.6977
1987-06-01,91.2275
1987-07-01,92.0790
1987-08-01,93.3116
1987-09-01,92.6194
1987-10-01,93.1141
1987-11-01,92.2298
1987-12-01,91.8014
1988-01-01,91.5083
1988-02-01,90.9687
1988-03-01,90.0679
1988-04-01,90.3709
1988-05-01,89.1439
1988-06-01,88.5552
1988-07-01,86.9520
1988-08-01,87.3275
1988-09-01,87.4871
1988-10-01,87.8053
1988-11-01,87.0130
1988-12-01,87.4465
1989-01-01,89.9003
1989-02-01,88.2469
1989-03-01,88.3535
1989-04-01,89.2830
1989-05-01,88.8018
1989-06-01,88.3081
1989-07-01,89.0417
1989-08-01,88.2670
1989-09-01,87.6714
1989-10-01,87.4847
1989-11-01,87.0922
1989-12-01,87.1597
1990-01-01,86.9335
1990-02-01,87.0686
1990-03-01,85.2601
1990-04-01,84.2511
1990-05-01,83.6559
1990-06-01,83.6714
1990-07-01,83.0017
1990-08-01,82.6351
1990-09-01,83.2078
1990-10-01,81.3750
1990-11-01,80.2384
1990-12-01,79.6425
1991-01-01,77.8320
1991-02-01,77.5795
1991-03-01,78.9080
1991-04-01,79.4170
1991-05-01,80.9215
1991-06-01,82.2430
1991-07-01,83.0372
1991-08-01,83.4085
1991-09-01,83.1059
1991-10-01,83.2122
1991-11-01,83.8944
1991-12-01,85.1602
1992-01-01,83.3787
1992-02-01,84.7014
1992-03-01,84.5936
1992-04-01,84.5066
1992-05-01,85.8235
1992-06-01,85.5526
1992-07-01,85.7080
1992-08-01,85.7515
1992-09-01,86.4367
1992-10-01,86.4770
1992-11-01,87.3184
1992-12-01,86.4714
1993-01-01,88.5600
1993-02-01,87.4067
1993-03-01,85.1934
1993-04-01,87.5283
1993-05-01,88.6470
1993-06-01,87.9219
1993-07-01,88.9885
1993-08-01,88.1368
1993-09-01,87.8638
1993-10-01,88.9663
1993-11-01,88.1897
1993-12-01,88.2062
1994-01-01,89.4596
1994-02-01,87.6560
1994-03-01,88.6797
1994-04-01,90.5885
1994-05-01,89.6363
1994-06-01,90.1699
1994-07-01,90.5108
1994-08-01,90.4536
1994-09-01,90.6469
1994-10-01,91.7645
1994-11-01,91.1294
1994-12-01,91.4767
1995-01-01,91.6333
1995-02-01,90.8188
1995-03-01,89.7183
1995-04-01,88.6258
1995-05-01,86.4529
1995-06-01,85.1418
1995-07-01,84.5185
1995-08-01,84.9510
1995-09-01,85.0558
1995-10-01,82.8326
1995-11-01,82.5769
1995-12-01,82.4944
1996-01-01,79.5133
1996-02-01,80.9924
1996-03-01,82.9975
1996-04-01,81.2723
1996-05-01,82.3270
1996-06-01,84.2357
1996-07-01,81.6678
1996-08-01,82.3796
1996-09-01,82.6123
1996-10-01,82.4958
1996-11-01,83.3517
1996-12-01,84.1041
1997-01-01,82.6708
1997-02-01,83.4855
1997-03-01,84.8074
1997-04-01,83.8385
1997-05-01,84.0140
1997-06-01,84.8749
1997-07-01,84.6064
1997-08-01,84.5605
1997-09-01,85.0441
1997-10-01,84.0846
1997-11-01,86.1317
1997-12-01,85.3130
1998-01-01,85.4387
1998-02-01,83.3664
1998-03-01,82.3872
1998-04-01,81.3164
1998-05-01,82.3093
1998-06-01,81.4774
1998-07-01,81.8648
1998-08-01,82.1134
1998-09-01,80.3718
1998-10-01,80.9803
1998-11-01,80.1543
1998-12-01,80.1351
1999-01-01,81.0480
1999-02-01,81.6913
1999-03-01,80.5227
1999-04-01,81.5277
1999-05-01,83.1580
1999-06-01,81.3372
1999-07-01,81.8346
1999-08-01,81.2983
1999-09-01,81.4670
1999-10-01,82.6185
1999-11-01,81.5484
1999-12-01,82.4281
2000-01-01,82.8592
2000-02-01,82.2794
2000-03-01,82.0714
2000-04-01,82.6249
2000-05-01,81.0599
2000-06-01,80.6082
2000-07-01,79.9775
2000-08-01,77.7652
2000-09-01,77.3857
2000-10-01,76.5398
2000-11-01,74.9764
2000-12-01,74.9014
2001-01-01,74.0923
2001-02-01,73.0398
2001-03-01,73.5307
2001-04-01,73.2579
2001-05-01,71.7248
2001-06-01,71.0782
2001-07-01,70.2190
2001-08-01,70.6910
2001-09-01,71.6234
2001-10-01,70.0135
2001-11-01,69.1425
2001-12-01,69.9548
2002-01-01,70.2727
2002-02-01,70.9226
2002-03-01,72.7706
2002-04-01,73.6889
2002-05-01,74.0515
2002-06-01,75.1678
2002-07-01,74.1154
2002-08-01,74.3251
2002-09-01,74.6643
2002-10-01,74.3909
2002-11-01,75.3737
2002-12-01,75.2605
2003-01-01,73.1485
2003-02-01,74.4993
2003-03-01,74.4499
2003-04-01,74.4212
2003-05-01,73.1033
2003-06-01,73.1297
2003-07-01,71.1441
2003-08-01,70.8692
2003-09-01,71.3832
2003-10-01,72.4015
2003-11-01,73.9719
2003-12-01,73.2948
2004-01-01,75.1847
2004-02-01,73.2513
2004-03-01,72.0559
2004-04-01,73.1919
2004-05-01,74.8130
2004-06-01,74.3516
2004-07-01,76.3719
2004-08-01,75.7880
2004-09-01,75.5167
2004-10-01,77.4250
2004-11-01,76.0785
2004-12-01,76.5253
2005-01-01,78.2161
2005-02-01,78.3382
2005-03-01,78.4110
2005-04-01,77.1600
2005-05-01,77.9514
2005-06-01,77.9472
2005-07-01,79.0907
2005-08-01,78.9963
2005-09-01,79.2950
2005-10-01,79.1611
2005-11-01,78.7632
2005-12-01,77.7310
2006-01-01,78.4822
2006-02-01,77.8739
2006-03-01,76.9867
2006-04-01,76.3799
2006-05-01,75.7951
2006-06-01,75.4427
2006-07-01,75.5668
2006-08-01,75.0725
2006-09-01,74.3340
2006-10-01,73.4453
2006-11-01,72.8180
2006-12-01,72.8041
2007-01-01,72.0356
2007-02-01,71.5391
2007-03-01,72.1249
2007-04-01,72.8407
2007-05-01,72.9636
2007-06-01,73.8065
2007-07-01,72.6930
2007-08-01,71.6418
2007-09-01,72.2156
2007-10-01,72.2617
2007-11-01,72.4039
2007-12-01,72.5056
2008-01-01,71.0504
2008-02-01,71.0732
2008-03-01,71.3268
2008-04-01,70.1449
2008-05-01,70.2390
2008-06-01,69.5276
2008-07-01,68.6642
2008-08-01,68.8865
2008-09-01,66.9951
2008-10-01,65.5309
2008-11-01,62.5439
2008-12-01,58.8092
2009-01-01,59.0116
2009-02-01,56.4689
2009-03-01,55.4010
2009-04-01,55.5766
2009-05-01,54.7147
2009-06-01,55.4648
2009-07-01,53.8699
2009-08-01,55.4178
2009-09-01,55.4778
2009-10-01,57.7342
2009-11-01,59.7213
2009-12-01,59.7772
2010-01-01,60.2482
2010-02-01,61.0763
2010-03-01,61.6883
2010-04-01,62.5237
2010-05-01,64.0171
2010-06-01,63.8857
2010-07-01,65.1463
2010-08-01,65.3935
2010-09-01,65.4113
2010-10-01,65.1384
2010-11-01,64.9098
2010-12-01,66.3618
2011-01-01,64.7511
2011-02-01,67.1728
2011-03-01,65.7750
2011-04-01,66.9359
2011-05-01,67.0022
2011-06-01,66.6297
2011-07-01,66.0578
2011-08-01,65.0094
2011-09-01,65.1793
2011-10-01,64.9200
2011-11-01,64.8998
2011-12-01,65.8225
2012-01-01,66.1681
2012-02-01,66.7381
2012-03-01,65.5596
2012-04-01,65.9338
2012-05-01,64.9158
2012-06-01,66.6837
2012-07-01,65.9448
2012-08-01,66.2492
2012-09-01,67.1844
2012-10-01,67.7426
2012-11-01,66.5872
2012-12-01,66.8327
2013-01-01,68.5793
2013-02-01,69.3381
2013-03-01,69.9396
2013-04-01,69.2688
2013-05-01,69.9784
2013-06-01,70.9231
2013-07-01,70.4193
2013-08-01,71.2898
2013-09-01,71.2894
2013-10-01,71.0569
2013-11-01,72.1238
2013-12-01,71.6649
2014-01-01,70.6259
2014-02-01,69.7795
2014-03-01,72.6814
2014-04-01,72.7100
2014-05-01,72.5496
2014-06-01,73.1813
2014-07-01,74.2600
2014-08-01,73.6395
2014-09-01,73.3850
2014-10-01,73.0241
2014-11-01,73.7287
2014-12-01,72.8999
2015-01-01,71.1145
2015-02-01,71.5321
2015-03-01,71.2072
2015-04-01,70.7796
2015-05-01,70.6985
2015-06-01,69.9226
2015-07-01,68.9766
2015-08-01,68.4797
2015-09-01,68.3590
2015-10-01,68.3269
2015-11-01,68.0014
2015-12-01,68.2789
2016-01-01,69.6734
2016-02-01,68.5947
2016-03-01,68.5857
2016-04-01,67.7140
2016-05-01,68.4330
2016-06-01,68.4235
2016-07-01,69.0611
2016-08-01,68.4086
2016-09-01,69.8063
2016-10-01,69.9066
2016-11-01,70.4035
2016-12-01,68.8798
2017-01-01,70.7001
2017-02-01,69.9905
2017-03-01,69.9386
2017-04-01,70.6741
2017-05-01,70.5760
2017-06-01,70.6777
2017-07-01,70.7605
2017-08-01,70.7413
2017-09-01,71.1903
2017-10-01,71.2922
2017-11-01,70.6619
2017-12-01,71.6012
2018-01-01,72.3180
2018-02-01,73.2563
2018-03-01,72.2057
2018-04-01,72.3182
2018-05-01,71.6575
2018-06-01,72.2110
2018-07-01,72.1773
2018-08-01,73.2653
2018-09-01,72.1545
2018-10-01,73.1327
2018-11-01,72.0687
2018-12-01,70.6897
2019-01-01,71.1795
2019-02-01,71.0977
2019-03-01,72.2020
2019-04-01,71.3160
2019-05-01,70.6472
2019-06-01,70.8599
2019-07-01,68.6766
2019-08-01,69.4536
2019-09-01,69.3353
2019-10-01,68.9538
2019-11-01,68.9466
2019-12-01,68.5284
2020-01-01,69.4774
2020-02-01,69.2732
2020-03-01,66.1333
2020-04-01,49.9179
2020-05-01,55.9879
2020-06-01,59.1676
2020-07-01,61.0440
2020-08-01,62.9694
2020-09-01,65.8039
2020-10-01,65.7432
2020-11-01,65.0101
