DATE,CAPUTLG315A6S
1972-01-01,81.4558
1972-02-01,81.0135
1972-03-01,80.8115
1972-04-01,81.0107
1972-05-01,80.4429
1972-06-01,80.0505
1972-07-01,80.3659
1972-08-01,81.8923
1972-09-01,82.6011
1972-10-01,82.7004
1972-11-01,83.6655
1972-12-01,82.7458
1973-01-01,81.5626
1973-02-01,83.8157
1973-03-01,84.8561
1973-04-01,84.4194
1973-05-01,83.3054
1973-06-01,82.8938
1973-07-01,81.3099
1973-08-01,81.8953
1973-09-01,81.1269
1973-10-01,80.6868
1973-11-01,80.5380
1973-12-01,80.0027
1974-01-01,79.0019
1974-02-01,78.5997
1974-03-01,78.0708
1974-04-01,76.9743
1974-05-01,76.7077
1974-06-01,75.0340
1974-07-01,76.6895
1974-08-01,76.8018
1974-09-01,76.0761
1974-10-01,75.8709
1974-11-01,74.4952
1974-12-01,71.1928
1975-01-01,69.2373
1975-02-01,67.9934
1975-03-01,67.5372
1975-04-01,69.3163
1975-05-01,71.2216
1975-06-01,73.4441
1975-07-01,76.4836
1975-08-01,77.9146
1975-09-01,78.8763
1975-10-01,80.3364
1975-11-01,81.1915
1975-12-01,81.3491
1976-01-01,81.5015
1976-02-01,81.0398
1976-03-01,80.8166
1976-04-01,79.9458
1976-05-01,79.3376
1976-06-01,77.9688
1976-07-01,77.4750
1976-08-01,75.9380
1976-09-01,76.8065
1976-10-01,75.7900
1976-11-01,75.8212
1976-12-01,76.4380
1977-01-01,75.5194
1977-02-01,79.0732
1977-03-01,79.4590
1977-04-01,80.1834
1977-05-01,81.2853
1977-06-01,82.2360
1977-07-01,82.0578
1977-08-01,82.5317
1977-09-01,82.8835
1977-10-01,84.7537
1977-11-01,84.9401
1977-12-01,85.1909
1978-01-01,81.2664
1978-02-01,83.8946
1978-03-01,85.9969
1978-04-01,86.3288
1978-05-01,85.9179
1978-06-01,85.7583
1978-07-01,84.6176
1978-08-01,84.4386
1978-09-01,84.5040
1978-10-01,82.9410
1978-11-01,82.5327
1978-12-01,82.1895
1979-01-01,81.6561
1979-02-01,79.8972
1979-03-01,80.0403
1979-04-01,79.0184
1979-05-01,78.3250
1979-06-01,78.4627
1979-07-01,78.1139
1979-08-01,78.5253
1979-09-01,78.4902
1979-10-01,78.6501
1979-11-01,78.9100
1979-12-01,80.0573
1980-01-01,80.9006
1980-02-01,81.2357
1980-03-01,81.3169
1980-04-01,81.6957
1980-05-01,80.5181
1980-06-01,80.2564
1980-07-01,79.7474
1980-08-01,80.5704
1980-09-01,78.9249
1980-10-01,78.7556
