DATE,CAPUTLG335S
1972-01-01,89.2997
1972-02-01,90.0535
1972-03-01,87.9902
1972-04-01,89.1484
1972-05-01,87.9665
1972-06-01,87.4414
1972-07-01,88.3976
1972-08-01,88.1064
1972-09-01,88.8568
1972-10-01,91.1590
1972-11-01,92.8323
1972-12-01,96.2212
1973-01-01,96.7472
1973-02-01,96.2081
1973-03-01,97.6347
1973-04-01,96.7136
1973-05-01,97.0657
1973-06-01,97.5929
1973-07-01,98.7406
1973-08-01,96.7622
1973-09-01,98.6179
1973-10-01,99.3042
1973-11-01,99.0409
1973-12-01,97.8158
1974-01-01,96.8002
1974-02-01,94.1903
1974-03-01,94.7721
1974-04-01,94.4609
1974-05-01,95.0091
1974-06-01,94.3063
1974-07-01,94.4185
1974-08-01,93.2008
1974-09-01,91.0117
1974-10-01,87.5379
1974-11-01,84.2406
1974-12-01,78.6056
1975-01-01,75.0986
1975-02-01,73.8852
1975-03-01,71.3979
1975-04-01,70.4952
1975-05-01,69.2121
1975-06-01,68.2100
1975-07-01,69.0440
1975-08-01,68.9507
1975-09-01,69.6766
1975-10-01,70.3363
1975-11-01,70.7998
1975-12-01,71.7986
1976-01-01,74.9274
1976-02-01,76.3245
1976-03-01,77.2213
1976-04-01,78.1728
1976-05-01,78.5009
1976-06-01,78.8351
1976-07-01,78.6878
1976-08-01,79.8575
1976-09-01,79.2270
1976-10-01,81.0991
1976-11-01,82.4671
1976-12-01,79.8312
1977-01-01,82.5864
1977-02-01,82.1879
1977-03-01,84.3030
1977-04-01,85.1135
1977-05-01,85.9133
1977-06-01,87.0789
1977-07-01,85.1443
1977-08-01,86.5230
1977-09-01,86.9033
1977-10-01,86.0491
1977-11-01,85.7938
1977-12-01,88.1006
1978-01-01,86.9934
1978-02-01,86.2141
1978-03-01,86.0314
1978-04-01,87.7388
1978-05-01,88.3738
1978-06-01,88.7180
1978-07-01,88.0203
1978-08-01,88.2964
1978-09-01,88.4152
1978-10-01,88.3218
1978-11-01,87.1946
1978-12-01,88.1731
1979-01-01,88.7414
