DATE,CAPUTLG322S
1948-01-01,86.9921
1948-02-01,87.6372
1948-03-01,87.8301
1948-04-01,88.5506
1948-05-01,89.4441
1948-06-01,89.2819
1948-07-01,88.2448
1948-08-01,87.7359
1948-09-01,87.4032
1948-10-01,86.3751
1948-11-01,85.3508
1948-12-01,83.5236
1949-01-01,82.3989
1949-02-01,80.4202
1949-03-01,78.8637
1949-04-01,76.8090
1949-05-01,75.4520
1949-06-01,76.6448
1949-07-01,75.6374
1949-08-01,80.8445
1949-09-01,84.5037
1949-10-01,85.9696
1949-11-01,84.7739
1949-12-01,82.8936
1950-01-01,85.1315
1950-02-01,86.3691
1950-03-01,86.9087
1950-04-01,88.0894
1950-05-01,89.4190
1950-06-01,91.2157
1950-07-01,94.1091
1950-08-01,95.3897
1950-09-01,94.6080
1950-10-01,94.6183
1950-11-01,95.4094
1950-12-01,99.5761
1951-01-01,98.5969
1951-02-01,97.6248
1951-03-01,99.5490
1951-04-01,102.5401
1951-05-01,102.1428
1951-06-01,97.0044
1951-07-01,92.8061
1951-08-01,88.0186
1951-09-01,86.4440
1951-10-01,85.1798
1951-11-01,83.6192
1951-12-01,83.1218
1952-01-01,85.9379
1952-02-01,86.3385
1952-03-01,84.7896
1952-04-01,83.9954
1952-05-01,83.6520
1952-06-01,83.4590
1952-07-01,83.1185
1952-08-01,85.4451
1952-09-01,87.3178
1952-10-01,89.0345
1952-11-01,90.1552
1952-12-01,90.6493
1953-01-01,88.8002
1953-02-01,90.6085
1953-03-01,92.2272
1953-04-01,92.0956
1953-05-01,92.8325
1953-06-01,92.9883
1953-07-01,92.8557
1953-08-01,92.8671
1953-09-01,92.3070
1953-10-01,89.7557
1953-11-01,90.0603
1953-12-01,86.5389
1954-01-01,85.4389
1954-02-01,86.0351
1954-03-01,86.9086
1954-04-01,86.9370
1954-05-01,87.3840
1954-06-01,87.2718
1954-07-01,85.4946
1954-08-01,87.7411
1954-09-01,88.1808
1954-10-01,88.4804
1954-11-01,88.7781
1954-12-01,90.0321
1955-01-01,90.7332
1955-02-01,91.8386
1955-03-01,93.0734
1955-04-01,93.2189
1955-05-01,94.7129
1955-06-01,95.2567
1955-07-01,94.7241
1955-08-01,92.5889
1955-09-01,95.8026
1955-10-01,96.0714
1955-11-01,96.3385
1955-12-01,98.5623
1956-01-01,97.6072
1956-02-01,97.4468
1956-03-01,97.1299
1956-04-01,98.7750
1956-05-01,97.1534
1956-06-01,96.7107
1956-07-01,97.5647
1956-08-01,95.9627
1956-09-01,95.3995
1956-10-01,94.4554
1956-11-01,95.5613
1956-12-01,95.6554
1957-01-01,94.3556
1957-02-01,93.0669
1957-03-01,93.3127
1957-04-01,91.6847
1957-05-01,90.5705
1957-06-01,90.4554
1957-07-01,86.7819
1957-08-01,89.9848
1957-09-01,89.3888
1957-10-01,88.9199
1957-11-01,87.7348
1957-12-01,86.0014
1958-01-01,85.5939
1958-02-01,85.3088
1958-03-01,83.6469
1958-04-01,82.9390
1958-05-01,82.3540
1958-06-01,84.8026
1958-07-01,85.3746
1958-08-01,86.5195
1958-09-01,87.1947
1958-10-01,88.6662
1958-11-01,88.3002
1958-12-01,88.3917
1959-01-01,87.9167
1959-02-01,90.2628
1959-03-01,90.4574
1959-04-01,93.2214
1959-05-01,92.7345
1959-06-01,91.8081
1959-07-01,92.7664
1959-08-01,91.9573
1959-09-01,91.7023
1959-10-01,91.7768
1959-11-01,89.8941
1959-12-01,92.0786
1960-01-01,92.6276
1960-02-01,91.1346
1960-03-01,90.8756
1960-04-01,89.6644
1960-05-01,89.9434
1960-06-01,88.7492
1960-07-01,88.0896
1960-08-01,86.7090
1960-09-01,86.5836
1960-10-01,86.1506
1960-11-01,85.6195
1960-12-01,84.6376
1961-01-01,85.1871
1961-02-01,85.1254
1961-03-01,86.3262
1961-04-01,87.4178
1961-05-01,86.8015
1961-06-01,89.2786
1961-07-01,88.0643
1961-08-01,89.7276
1961-09-01,89.5062
1961-10-01,90.6615
1961-11-01,91.0255
1961-12-01,93.6444
1962-01-01,89.7321
1962-02-01,91.7565
1962-03-01,90.7872
1962-04-01,91.3646
1962-05-01,90.4987
1962-06-01,89.9253
1962-07-01,89.8323
1962-08-01,89.9301
1962-09-01,90.0272
1962-10-01,89.2736
1962-11-01,90.1255
1962-12-01,89.7343
1963-01-01,89.0650
1963-02-01,91.7572
1963-03-01,92.0903
1963-04-01,90.6617
1963-05-01,91.5501
1963-06-01,92.5244
1963-07-01,89.9172
1963-08-01,92.9914
1963-09-01,94.6792
1963-10-01,92.4542
1963-11-01,92.5952
1963-12-01,91.1607
1964-01-01,91.5319
1964-02-01,91.9002
1964-03-01,92.1344
1964-04-01,94.0508
1964-05-01,93.9209
1964-06-01,90.8912
1964-07-01,93.3140
1964-08-01,94.6707
1964-09-01,92.9776
1964-10-01,93.4599
1964-11-01,92.9052
1964-12-01,93.9865
1965-01-01,94.1194
1965-02-01,93.9965
1965-03-01,93.7930
1965-04-01,93.6757
1965-05-01,93.7264
1965-06-01,91.2892
1965-07-01,94.4034
1965-08-01,94.3673
1965-09-01,95.1468
1965-10-01,94.8637
1965-11-01,95.7126
1965-12-01,95.9750
1966-01-01,96.0749
1966-02-01,95.4602
1966-03-01,95.7040
1966-04-01,94.8476
1966-05-01,95.7157
1966-06-01,95.0237
1966-07-01,96.7290
1966-08-01,94.8129
1966-09-01,94.6710
1966-10-01,94.5307
1966-11-01,94.2412
1966-12-01,93.6476
1967-01-01,93.4206
1967-02-01,91.8671
1967-03-01,90.2291
1967-04-01,90.5195
1967-05-01,89.3222
1967-06-01,88.6909
1967-07-01,87.9802
1967-08-01,89.0080
1967-09-01,88.5009
1967-10-01,89.1452
1967-11-01,88.7467
1967-12-01,88.6507
1968-01-01,87.7362
1968-02-01,87.1149
1968-03-01,88.5298
1968-04-01,88.7773
1968-05-01,89.7563
1968-06-01,89.6241
1968-07-01,89.5422
1968-08-01,89.2884
1968-09-01,90.6070
1968-10-01,90.2097
1968-11-01,89.6220
1968-12-01,91.2131
1969-01-01,90.2720
1969-02-01,91.1040
1969-03-01,92.1506
1969-04-01,90.3904
1969-05-01,90.7480
1969-06-01,91.7367
1969-07-01,91.5127
1969-08-01,91.4049
1969-09-01,91.3734
1969-10-01,90.3102
1969-11-01,91.3282
1969-12-01,90.3499
1970-01-01,90.1846
1970-02-01,88.8458
1970-03-01,87.4085
1970-04-01,88.0159
1970-05-01,86.7093
1970-06-01,84.7587
1970-07-01,87.7075
1970-08-01,84.7894
1970-09-01,83.9647
1970-10-01,84.3223
1970-11-01,83.7802
1970-12-01,83.9662
1971-01-01,86.4001
1971-02-01,86.0192
1971-03-01,84.5308
1971-04-01,86.5942
1971-05-01,85.7707
1971-06-01,86.6017
1971-07-01,86.5688
1971-08-01,87.5053
1971-09-01,88.1014
1971-10-01,88.7243
1971-11-01,87.8124
1971-12-01,88.3278
1972-01-01,89.4415
1972-02-01,89.2673
1972-03-01,90.1357
1972-04-01,90.5478
1972-05-01,90.1772
1972-06-01,91.5957
1972-07-01,90.4008
1972-08-01,90.5724
1972-09-01,92.1740
1972-10-01,93.2710
1972-11-01,94.2520
1972-12-01,95.1976
1973-01-01,94.2828
1973-02-01,95.4273
1973-03-01,95.0274
1973-04-01,95.5312
1973-05-01,95.8087
1973-06-01,93.9127
1973-07-01,93.8389
1973-08-01,93.9694
1973-09-01,93.7755
1973-10-01,94.4317
1973-11-01,95.6420
1973-12-01,96.7199
1974-01-01,98.0049
1974-02-01,98.4954
1974-03-01,99.0820
1974-04-01,98.8317
1974-05-01,97.7687
1974-06-01,96.8141
1974-07-01,97.6052
1974-08-01,94.9984
1974-09-01,94.9913
1974-10-01,91.9510
1974-11-01,88.4858
1974-12-01,83.4997
1975-01-01,80.9354
1975-02-01,78.0331
1975-03-01,74.1581
1975-04-01,74.5844
1975-05-01,74.3416
1975-06-01,78.6840
1975-07-01,80.4755
1975-08-01,81.2294
1975-09-01,83.5892
1975-10-01,85.5364
1975-11-01,87.6707
1975-12-01,88.8692
1976-01-01,88.6547
1976-02-01,90.5196
1976-03-01,89.2029
1976-04-01,90.0820
1976-05-01,88.3032
1976-06-01,88.1591
1976-07-01,85.8882
1976-08-01,87.3694
1976-09-01,86.0514
1976-10-01,86.5315
1976-11-01,86.3397
1976-12-01,85.6225
1977-01-01,87.6397
1977-02-01,88.2859
1977-03-01,89.5949
1977-04-01,88.8696
1977-05-01,91.6252
1977-06-01,91.0610
1977-07-01,90.5933
1977-08-01,91.4111
1977-09-01,91.1043
1977-10-01,90.3199
1977-11-01,90.9489
1977-12-01,90.5115
1978-01-01,91.9570
1978-02-01,93.6236
1978-03-01,93.6721
1978-04-01,94.2588
1978-05-01,95.3056
1978-06-01,95.0508
1978-07-01,91.3410
1978-08-01,89.0440
1978-09-01,89.5409
1978-10-01,91.3805
1978-11-01,90.2890
1978-12-01,90.9919
