DATE,CAPUTLG332S
1948-01-01,89.5816
1948-02-01,87.6942
1948-03-01,87.3431
1948-04-01,87.5269
1948-05-01,86.7818
1948-06-01,84.8549
1948-07-01,84.2577
1948-08-01,85.7601
1948-09-01,84.9031
1948-10-01,85.4818
1948-11-01,84.5031
1948-12-01,83.1024
1949-01-01,80.2942
1949-02-01,79.1699
1949-03-01,76.8513
1949-04-01,74.7967
1949-05-01,73.3875
1949-06-01,73.5122
1949-07-01,74.2723
1949-08-01,75.0298
1949-09-01,77.1787
1949-10-01,72.4885
1949-11-01,70.3406
1949-12-01,72.2286
1950-01-01,74.9809
1950-02-01,76.9641
1950-03-01,78.9157
1950-04-01,81.5884
1950-05-01,84.8478
1950-06-01,88.6848
1950-07-01,91.2647
1950-08-01,94.5443
1950-09-01,95.2611
1950-10-01,95.2516
1950-11-01,94.8845
1950-12-01,94.3979
1951-01-01,93.4419
1951-02-01,93.5537
1951-03-01,93.5416
1951-04-01,93.5295
1951-05-01,91.8809
1951-06-01,91.0571
1951-07-01,89.4236
1951-08-01,88.0306
1951-09-01,86.8763
1951-10-01,85.2664
1951-11-01,85.1608
1951-12-01,85.0610
1952-01-01,84.8472
1952-02-01,84.9772
1952-03-01,84.2001
1952-04-01,82.1767
1952-05-01,82.6575
1952-06-01,79.2902
1952-07-01,76.9548
1952-08-01,82.1724
1952-09-01,86.9158
1952-10-01,89.0598
1952-11-01,91.1936
1952-12-01,93.1834
1953-01-01,94.4959
1953-02-01,94.5817
1953-03-01,95.1976
1953-04-01,96.2509
1953-05-01,95.8691
1953-06-01,95.8183
1953-07-01,96.7517
1953-08-01,95.1725
1953-09-01,91.9714
1953-10-01,89.8722
1953-11-01,86.1631
1953-12-01,82.9201
1954-01-01,82.3826
1954-02-01,81.0970
1954-03-01,79.8318
1954-04-01,80.0672
1954-05-01,80.9404
1954-06-01,81.2784
1954-07-01,80.6607
1954-08-01,81.5264
1954-09-01,78.5903
1954-10-01,80.8249
1954-11-01,82.5240
1954-12-01,82.7254
1955-01-01,83.9702
1955-02-01,85.6251
1955-03-01,88.0781
1955-04-01,89.1705
1955-05-01,90.7730
1955-06-01,91.0277
1955-07-01,91.1782
1955-08-01,91.3280
1955-09-01,89.9454
1955-10-01,92.1338
1955-11-01,90.8583
1955-12-01,90.1730
1956-01-01,90.1980
1956-02-01,89.5189
1956-03-01,88.8200
1956-04-01,89.4247
1956-05-01,87.1375
1956-06-01,85.3615
1956-07-01,83.2016
1956-08-01,85.4931
1956-09-01,87.0817
1956-10-01,89.2478
1956-11-01,87.0055
1956-12-01,88.4995
1957-01-01,88.8198
1957-02-01,90.2996
1957-03-01,89.4779
1957-04-01,89.0456
1957-05-01,87.9435
1957-06-01,87.4219
1957-07-01,87.2850
1957-08-01,86.1964
1957-09-01,85.4935
1957-10-01,84.3206
1957-11-01,84.0044
1957-12-01,80.7600
1958-01-01,78.0971
1958-02-01,75.6361
1958-03-01,74.3027
1958-04-01,70.6466
1958-05-01,71.0074
1958-06-01,72.9419
1958-07-01,73.3868
1958-08-01,75.8570
1958-09-01,76.9348
1958-10-01,73.9734
1958-11-01,79.6212
1958-12-01,79.7410
1959-01-01,81.1321
1959-02-01,81.5183
1959-03-01,82.4161
1959-04-01,84.1174
1959-05-01,85.0901
1959-06-01,85.8776
1959-07-01,84.7003
1959-08-01,81.4893
1959-09-01,80.4228
1959-10-01,75.7480
1959-11-01,73.8286
1959-12-01,80.6367
1960-01-01,83.5551
1960-02-01,84.3659
1960-03-01,82.0090
1960-04-01,80.0171
1960-05-01,79.4145
1960-06-01,77.7924
1960-07-01,77.4595
1960-08-01,76.8756
1960-09-01,75.2006
1960-10-01,74.8830
1960-11-01,72.7288
1960-12-01,70.7738
1961-01-01,69.9935
1961-02-01,69.6320
1961-03-01,69.7816
1961-04-01,71.1707
1961-05-01,72.8860
1961-06-01,73.1129
1961-07-01,73.6682
1961-08-01,75.7016
1961-09-01,72.3941
1961-10-01,75.9808
1961-11-01,77.2658
1961-12-01,78.2266
1962-01-01,76.1687
1962-02-01,78.1028
1962-03-01,78.4124
1962-04-01,78.8008
1962-05-01,78.6233
1962-06-01,78.3668
1962-07-01,77.5522
1962-08-01,76.9023
1962-09-01,77.5276
1962-10-01,76.3277
1962-11-01,76.7140
1962-12-01,76.8220
1963-01-01,77.1649
1963-02-01,76.3316
1963-03-01,75.8531
1963-04-01,76.7799
1963-05-01,77.4693
1963-06-01,76.9138
1963-07-01,77.9871
1963-08-01,78.5149
1963-09-01,77.0355
1963-10-01,78.3325
1963-11-01,79.0097
1963-12-01,78.9717
1964-01-01,79.6981
1964-02-01,78.8963
1964-03-01,79.5207
1964-04-01,79.9143
1964-05-01,79.8521
1964-06-01,79.7147
1964-07-01,80.2550
1964-08-01,79.6672
1964-09-01,79.8307
1964-10-01,77.9786
1964-11-01,81.2715
1964-12-01,82.2974
1965-01-01,82.0594
1965-02-01,84.3314
1965-03-01,84.7278
1965-04-01,85.9280
1965-05-01,84.7821
1965-06-01,84.5175
1965-07-01,85.9979
1965-08-01,84.2106
1965-09-01,83.3728
1965-10-01,84.9150
1965-11-01,86.5194
1965-12-01,86.6371
1966-01-01,86.6827
1966-02-01,87.2248
1966-03-01,88.2113
1966-04-01,86.7964
1966-05-01,87.2158
1966-06-01,85.7465
1966-07-01,87.0013
1966-08-01,86.5836
1966-09-01,86.9973
1966-10-01,86.8578
1966-11-01,87.8145
1966-12-01,87.6110
1967-01-01,88.4845
1967-02-01,87.6408
1967-03-01,87.4423
1967-04-01,85.9877
1967-05-01,86.7972
1967-06-01,86.3646
1967-07-01,85.0041
1967-08-01,86.0400
1967-09-01,85.3621
1967-10-01,85.5139
1967-11-01,85.7499
1967-12-01,86.0775
1968-01-01,87.3751
1968-02-01,86.7661
1968-03-01,86.1894
1968-04-01,86.0630
1968-05-01,86.8073
1968-06-01,86.7289
1968-07-01,86.9744
1968-08-01,87.1500
1968-09-01,87.1074
1968-10-01,87.8057
1968-11-01,88.9869
1968-12-01,89.0633
1969-01-01,88.8223
1969-02-01,87.9257
1969-03-01,88.0304
1969-04-01,87.9603
1969-05-01,87.1499
1969-06-01,86.3071
1969-07-01,85.8597
1969-08-01,85.6243
1969-09-01,85.9598
1969-10-01,84.8545
1969-11-01,83.0183
1969-12-01,81.8107
1970-01-01,80.0306
1970-02-01,80.0815
1970-03-01,79.9720
1970-04-01,79.7505
1970-05-01,78.7716
1970-06-01,79.4038
1970-07-01,78.8124
1970-08-01,78.7691
1970-09-01,77.4204
1970-10-01,75.6685
1970-11-01,75.2986
1970-12-01,76.8612
1971-01-01,77.3696
1971-02-01,77.2521
1971-03-01,76.6254
1971-04-01,77.1936
1971-05-01,77.5497
1971-06-01,77.9066
1971-07-01,78.1286
