DATE,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1997-01-01,84.78248368534288,85.06510749898288,90.3060235450522,83.16449150913557,84.66777275963518,85.18323913466264,84.93341664195624,81.97098061118128,84.11113147419685,88.57548704742855,83.44753581989008,84.08589134297074,88.36699177078926,83.9706037822836,84.92356108330091,84.13428604413116,84.05734789152378,82.16473255846695,84.91244213452971,88.34943475176563,83.67876295480097,84.6779950306809,83.14646134997385,83.62381636039277,84.48468418149427,85.22649151125087,83.28278345169807,89.27381500594278,83.2914463065134,87.75918652770756,84.63608186690864,84.66823657418968,88.59109673589725,84.45775565205321,83.41661789499256,86.66309544229046,84.19430995423066,87.10603208139324,83.42010798001144,84.18820117399392,83.47699909872743,84.30183232815526,84.55657668379138,83.66668643110907,87.68845155302579,84.73146966794613,83.92272699820815,83.77722844341676,78.07612359106805,86.69064167728023,84.13971252586033,89.78841448652564
1997-02-01,85.31577686885755,85.72769688155088,91.77758278501392,83.71226048964179,85.21701977850071,85.73560855583877,85.49534946443079,82.27861492874479,84.38476821947387,88.05834959007373,83.66777656200613,84.59836446645735,88.33917398415052,84.40991804287403,85.29961906139177,84.64812857100334,84.37048784482684,82.65010182742135,85.49462414936309,89.31520879067361,84.40619270396213,84.91600260640983,83.52968217614415,84.14176213700942,84.98039104929985,85.86110069550848,83.62135062859899,90.13406977069135,83.54090377329099,88.53058608045271,85.12044441243411,84.91456441932053,89.76628846066795,84.60495462033683,83.73180059068162,86.95957188909512,84.74394039399185,87.91286051519263,84.05734956645682,84.6235656070696,83.8338407413334,84.81301211444317,84.91984870952906,84.20753868547004,88.57767937629863,85.44581025925987,84.35769692064567,84.13746793967488,78.64011866875894,87.43648412355577,84.71961219637657,91.03966895298367
1997-03-01,85.39192924067461,85.68492349676254,91.93892097714621,83.65385820603687,85.3017143118915,85.79950854837486,85.58228656581686,82.2568365122919,84.42309768733044,86.84532236208841,83.49996612098008,84.85350916355793,87.72190833221886,84.6891897523852,85.32114533446224,84.66191258497065,84.62033271107805,82.79467358922562,85.7979771470129,89.3559492004874,84.25964496261477,84.8241515971661,83.52651175724202,84.33461538567758,85.0714370861813,85.95896614579993,83.83517191079603,89.92717945931143,83.85736759282169,88.2762434075749,85.0282587960774,84.94119114890988,89.82730501497558,84.49818002101621,84.12856747016703,86.81347893329249,84.77676780585124,87.93076653250758,84.13611943040651,84.6438054900839,83.7195667779705,84.85098408106153,84.88366517301807,84.44746182997237,88.63413971225005,85.4114494886204,84.28755443024008,84.44602108030351,78.85386544257544,87.35588320098526,84.78807974849799,91.0779265874717
1997-04-01,85.11020434546815,85.58944251376627,91.21679692871524,83.8985271083922,84.95748351058923,85.84785176541614,85.31504840372686,82.42841069911586,84.24062746582952,88.01317043834864,83.71201685127087,84.29007265334911,88.35742122606176,84.14795389184205,85.09982793202103,84.16759123337667,84.09767576899026,82.89396994041769,84.62612910248727,89.26973873929778,84.48380393247874,84.70881780284161,83.50394282864787,82.73850135027584,84.8111102877145,85.8883688533316,83.2698118306818,90.1220367369611,83.10705723772914,88.05357955207737,84.9604790797533,84.8867690780079,89.58887640798044,84.42065237885626,83.55962489127634,86.7424554171223,84.2039497315643,87.55813195938484,83.92725642648817,84.54724734941685,83.4241773302655,84.61589913426431,84.42644569359572,83.72265599225767,88.41242697818225,85.18101336346561,84.28165274112645,83.86215753595627,79.49579808748408,87.1731530032232,84.44302971694839,90.58227993094398
1997-05-01,85.18691145552162,85.59298681359483,92.20304284124924,83.845652153211,84.90782741931177,86.1127056132571,85.40243393666564,82.15035471659536,84.14033826732054,87.3151486129847,83.4355594177331,84.23207460146031,88.26969804420806,84.10558966811227,85.01803586716883,84.15733504492763,83.89327321200481,82.86140658229309,84.80390639767927,90.01755935832169,84.27744360647192,84.49657718521313,83.31563737761488,82.7872482866302,84.81461285995763,86.06776657172539,83.16511651590693,90.8110586084109,82.95155692118799,88.27046994150524,84.81968318906137,84.91370566476483,90.38869487160157,84.13007966462548,83.460890375248,86.57458700364208,84.16676827943722,87.89480694140904,83.87164743435908,84.48773701943975,83.2282732420062,84.42901945147126,84.29907824706775,83.69325570704139,88.9781140125933,85.35521979436825,84.07963053046421,83.78302652282707,79.35841365257549,87.42006685389427,84.27491157688577,91.38951633624545
1997-06-01,84.93094655766964,85.3318920066193,91.58172815331908,83.56974073523213,84.61754716284861,85.82014139711933,85.01262305292659,81.87432089533186,83.78836890407813,86.89461461480475,83.10691713221512,84.02129986954235,87.86148421657165,83.77437699745214,84.74807566655622,84.09242828445561,83.62759131029605,82.60334271568166,84.75057297117577,89.54405773227536,83.86848946504196,84.19122672551912,83.02728549139685,83.23577728359174,84.49250958194294,85.83345740180998,82.9440075543198,90.41343527691846,82.64193930837781,87.7898198467354,84.59321907332895,84.53310273944093,89.96657648621063,83.843588293808,83.19945993026434,86.25913196670676,84.1002347395626,87.57622503179138,83.68995115699174,84.14641421233485,83.06931890387906,84.27292241440955,84.05571255490295,83.55867082581915,88.54139665664046,85.13057744774616,83.77292420459003,83.48526472076686,79.14759540355391,86.95961949776807,83.99151657441259,90.80248734916697
1997-07-01,85.10094743535609,85.58279215897916,91.50973858715612,84.0153527480337,84.96534804296802,85.82468042292878,85.38476498857653,82.18540441971447,84.27222857322757,88.11678975522507,83.73902531745439,84.42028432241725,88.51917373538618,84.39496967022852,84.86416551710631,84.14252292294228,83.89035087544819,82.88609377761738,84.87249988987614,89.34945875876812,84.45391391751166,84.71100864853247,83.30356340335727,83.00584982103307,84.62691551811663,85.85086034060886,83.30318180248213,90.23531702430165,83.1612516813627,88.17441802638122,84.7880258945172,84.81822143720575,89.91744234254641,84.18330594037474,83.64990970606411,86.56269209360987,84.19105895364042,87.5246409779852,84.01967907044995,84.40749313098283,83.32605210335704,84.49696119497246,84.41360553012373,83.63135021876295,88.4778089004291,85.27397930227363,84.16132879259374,84.04476131621692,79.62547072488695,87.229740975703,84.15604316418772,90.80522837157915
1997-08-01,85.43771245349937,85.77400771248513,91.52597069664446,84.21962639385598,85.2411816495339,86.23390987214141,85.57053655758457,82.55691733845471,84.44313840307548,87.92608571198029,83.9078669558326,84.63421941039847,88.61116109468195,84.51331509100514,85.34178721915545,84.55823264216424,84.41972960005324,83.2902227025146,85.28652449926352,89.63759664963469,84.69649154433021,84.92160232891878,83.62954608242832,83.76753204731774,85.03839722474247,86.17450413093717,83.60049655485678,90.51104834905225,83.43440885853013,88.16470018432112,85.13504138006856,85.0575261979859,90.09956180846616,84.53902955210863,83.81370182149044,87.07830149007822,84.61719995020287,87.915467818613,84.25001131836281,84.6757201400975,83.56828766487864,84.82954451485004,84.74459194764165,84.02760017853336,88.73678569013121,85.57224937275646,84.45252790593442,84.23228120224017,80.00543661940422,87.25090190656086,84.6411559135065,90.82911743896831
1997-09-01,85.73396584561628,86.14474787117948,92.0985921219306,84.64881040184466,85.47696723064952,86.51639754304014,85.93009760020537,82.79910320741264,84.85571791924637,88.71601902445572,84.31007824163783,84.93347931282536,89.18827602989798,84.78985612395584,85.50363533502743,84.82333493665828,84.49650467331152,83.57304200045547,85.55458195064186,90.0892613638201,85.08608549317596,85.28850000302276,83.84145021160717,83.94383389426874,85.19684387541302,86.42525565108973,83.86773914204545,90.92797704203046,83.62167938325128,88.68415687325354,85.30387877381104,85.44029819513976,90.60749916079297,84.81316321921028,84.10205743475737,87.31372774290077,84.8415731539878,88.21695241160286,84.4761114330977,84.98611063487452,83.77287603570453,85.08426687561592,84.92935174059127,84.18283416994848,89.15466952929609,85.95172392188817,84.69257260502538,84.52681266700279,80.38204499565354,87.78472045746302,84.73960355635185,91.40303185954184
1997-10-01,85.91702552923985,86.20993540088045,91.40186617612547,84.88678334003907,85.83688737052397,86.78813894505363,86.10364127812655,83.09073397622379,84.86893741569192,89.74081989640864,84.8306763013023,85.12971380842838,90.10005560137823,85.20577276009327,85.8269377186524,85.02975031311233,84.95761871846344,83.98368492493488,85.85326854100683,89.83680267967185,85.2323590184342,85.7390822974259,84.01150448854075,84.34890589661222,85.47791007031829,86.66753682910584,84.15764042197593,91.06125004376791,84.11777193148299,88.6430667790087,85.55053214820505,85.49196483109074,90.26509432260954,85.15071244854555,84.28142245767332,87.85198124642093,85.13488350148913,88.16846675374461,84.74138431914466,85.09496469246496,84.02372674456537,85.07531533032298,85.36945374381976,84.34170140966964,88.96413260992634,86.18016369051975,85.04881231130126,84.94359443859061,80.96402494342017,87.48890905006466,84.9665414521005,90.82736090164806
