DATE,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1997-01-01,82.0701140844946,96.52757216748385,91.81166792663275,49.95993305635702,97.22091423454916,64.13903376862565,68.05741140840844,84.23356602449329,86.59972493842801,91.61012334601338,80.06889862761022,98.66308988761958,95.12583578000097,60.975615638991506,85.93265978389317,91.19530861125284,91.27185414076042,84.51628374829255,93.25135061865095,91.1741864345441,96.81418778652576,80.78259004574315,61.218609810114756,91.5304454463951,77.80594365350116,98.62822803557837,90.26235942564226,92.77389479243038,86.69634860637656,91.91282655668269,52.325807256554064,87.83026909046147,43.352512431337644,89.20249505714425,88.42663393437495,93.54329748944072,91.75131692691407,86.19983862163956,47.78124347896421,88.4207174049634,85.96386235860746,103.86909494136317,71.50652429713259,96.74628665605518,80.79118990931862,82.67299117723223,67.08018018750927,91.35051439868089,77.58643939974318,93.39658298925862,93.71488004065536,91.85177156042488
1997-02-01,82.61010587701125,96.64718461567092,93.1636341898929,50.91420112236272,97.20490742495258,65.10653561145588,68.91056095105733,84.35330745351574,86.59890976904096,86.89302935794136,79.60726992489484,98.76325240698067,91.9581436009854,61.890673007830344,86.13404476944815,91.59010101962072,91.36495491965808,84.73840803710029,93.74508105510816,91.82854699775021,96.75155920179769,80.6275225023087,62.229155246311095,91.86070634723383,78.56831959268943,98.68391481145895,90.41622645557003,92.50313344781588,86.95321631329713,91.62949736760976,53.40721211374705,87.76594683050884,44.62677018880078,88.59813927810791,88.90685345691837,92.20879712271962,92.11058592202899,86.78560915732379,48.962752039966105,88.72501965534619,86.17675728372039,103.62906333262838,72.00553732219663,97.49378443087234,81.68166624583128,83.32829621314905,67.74292745264407,91.34545566811099,78.11019040995681,93.60223725024636,94.24003680963787,92.70213354838978
1997-03-01,82.77628060262803,96.14415185199591,93.21944619949602,51.5376657337677,96.8747562005028,65.68595299715811,69.39782546400873,84.26324589862581,86.4976964641224,82.85781781888315,79.01284398473355,98.70620349079185,89.0290300034157,62.62426850804769,86.09130369270153,91.5743455482592,91.51441912508677,84.71660538203608,94.00867367715075,91.60334298763757,95.9952781842742,80.32312199450261,62.92356792110483,92.00285563847525,78.98750166542648,98.27719460531333,90.55219635321535,91.40525602561053,87.32908490208344,90.5885429500329,54.142205382505296,87.58593190384707,45.4663346489962,87.9487879470414,89.46563849763533,90.8243185530467,92.06390495886772,86.70676086090288,49.83011825106635,88.70765516632802,86.01290387511759,103.02980817328215,72.22142848985466,97.9473757309939,81.8656518029074,83.37004581469047,68.07573548205846,91.41171589875748,78.3654718993438,93.08909169978044,94.34989353041088,92.417789075148
1997-04-01,82.15956818116679,94.89934938537557,92.24530081281146,51.86746323104819,95.4329734175128,65.89552258536803,69.21854727545082,83.83370810854233,85.56479880508996,78.24769287929398,77.75526789574114,97.17293342926256,85.33581920874191,62.517854931033554,85.26248031991608,90.61025097946771,90.38166078756537,84.22767645175237,92.31798861861917,90.92065293078753,94.78144550730511,79.14828837227515,63.25346630984984,89.70974981188228,78.74211804368544,97.10681963407919,89.40757509049911,89.85005818331413,86.25461869942866,88.62514569431576,54.49854992299262,86.77185058159928,46.010092925426726,86.3948717799574,88.70422825741102,88.3098150151341,90.89968319976309,85.78566320094805,50.31135145791931,88.08919704874356,85.12219184394831,101.44359906011837,71.57323614792347,97.07290806150196,81.45799039325381,82.79420637016321,67.848715484273,89.97510259596787,78.76407047028707,91.87962571673054,93.58401788369991,91.20965121708839
1997-05-01,82.66584318250911,95.04402176129466,93.25415910258684,52.69697048132879,95.44015626714602,66.82551102167777,69.97267005470977,83.8546826585561,85.76046391275197,76.91706698044194,77.72213173774155,97.27275369105112,84.57401787460685,63.33989960364229,85.51986970851229,90.87453646562423,90.40653930080038,84.36363531902991,92.75518276810381,91.69112213748603,94.61228616960145,79.30461914871039,64.05859591729187,90.04832663232509,79.35861444561998,97.35004706258198,89.55795578781803,90.28831445884474,86.47242120031531,88.71533924946651,55.43058056384208,87.02548190403816,47.16225149048189,86.25970124618179,89.11653667898196,87.83814593644937,91.12000582505766,86.34047767311048,51.30518935020285,88.35312507744037,85.33026289955698,101.22970250500452,72.07869822694073,97.41613225595701,82.3116556878783,83.32009040059336,68.44292830311502,90.09153160418292,78.88859692297324,92.13485197680149,93.7203609727087,91.96682703001598
1997-06-01,83.75917550147456,96.41642068161019,92.94860613584318,53.93165912564162,96.56018109584494,67.90719812749902,71.1025252112628,84.96633565306368,86.92914749429505,81.19439263927981,79.56840058849463,98.50765689880987,87.69102966337327,64.61489016654075,86.71107349836082,91.92715676988537,91.41405223233018,85.21759093676768,93.69824025394217,91.87590131903748,96.13787755111912,81.02713694034236,65.26902926651171,91.83869608883928,80.37808805296542,98.42925622192342,90.59436329826019,91.41300749482185,87.40280077708823,90.05377300587135,56.79929686147947,88.01250386533735,48.07278401320134,88.08274664286695,90.16455215065648,89.77028638157311,92.31276029978763,87.19081656577015,52.532594046167,89.3283371214756,86.77801484494337,102.7757230237964,73.50295428975292,98.12173787036508,82.91665040237883,84.2966129326401,69.96015754949075,91.23166921291653,79.5217005477634,92.81874115489664,94.6485043912711,92.11092752601634
1997-07-01,85.1693504463706,98.39779964116104,93.17048724771566,55.39785238111269,98.36877311582566,69.07401616771742,72.65572295851875,86.62514365379982,88.85159020642065,87.18934932143145,82.22545266025985,100.51169272070302,91.8773179044481,66.34125292028985,88.18079809076566,93.04863922762249,92.92533526517629,86.56294212098717,94.79229272447328,92.25466905977612,98.80119468292172,83.41271059344577,66.73579660196694,92.83170923757653,81.66508363879686,99.7726914405578,92.20887198932975,92.64714577253048,89.11066819553325,92.2143177484585,58.28152431706678,89.57491173518714,49.01017884650412,90.54903975194703,91.97703667205835,92.31284376240716,93.61431583273918,88.22020721926704,53.87821969163909,90.85674049865356,88.64085034312428,104.87958581659494,75.30515577258187,99.05782647032855,83.74890804175112,85.53561060729716,71.86268834438309,93.27040040968987,80.77958100849932,94.25119425823004,95.98422414473526,92.79893379450638
1997-08-01,86.0626913249767,99.00452190030727,93.26697467285923,56.43964483306034,99.01935144938525,70.16402107237246,73.58827793258232,87.50761102810023,89.50990498441402,87.06363740761034,82.90186303733624,101.20395475096306,91.92570659397379,67.37420869668347,89.190486880024,93.96785785367916,93.97873716462142,87.32257558930637,95.63198958625148,92.6549828151076,99.46196165334275,84.21451794473003,67.92798937233091,94.21795201852028,82.75052730659412,100.42240940391085,92.99251822670817,92.98316043212083,89.93615492055567,92.40733104760938,59.53005774450208,90.22218413530899,50.025442180421145,91.39179064422612,92.80652395714824,92.99173567812556,94.56106983101337,88.97387854569371,55.06635811649613,91.63254657368313,89.53338383198022,105.69793914909573,76.33330039479333,100.04036397520454,84.42393437039502,86.32990950227648,72.96757592785639,93.89768823532913,81.53365909346805,94.46245964715963,97.07891690419929,92.91255332350983
1997-09-01,86.16446573944006,98.64980403904366,93.71342931213633,57.02081827672554,98.596657729433,70.63914557047967,73.97695318688153,87.40823569817822,89.44441276090656,83.41864322015482,82.24167213127765,100.95642496335053,89.22011772081643,67.85630802903094,88.97540096947716,94.05641943762818,93.71695708791455,87.23769727829831,95.74078782473553,92.71122116277854,98.86038752153704,83.80583179469795,68.52310597741888,94.17425753861968,82.979226081228,99.96760027753548,92.97385410363084,92.13490914291928,89.97597743217193,91.7118070593685,60.14216835817881,90.09842987684846,50.89096287832674,90.62966794547872,93.06268885438853,91.47170537301729,94.51451462799128,88.92618245088394,55.8450200770135,91.65317067516237,89.38129556517163,105.08198757310343,76.36339599536406,100.34389052979854,84.70980226400468,86.51264679772025,73.11807780819507,93.67723964811981,81.82620046970031,94.37608264869398,97.00911457900217,93.0267268296518
1997-10-01,86.12171608639225,98.04682939426988,92.88322545202428,57.309951855048816,98.39993197832972,70.95134529442298,74.08591225416522,87.37980711973977,89.0004418074059,80.42593265964923,81.69305826535296,100.7194925076134,87.13090031584578,68.20901279965688,88.91648394258645,94.11396814092056,93.89848282211882,87.29726435388098,95.89496229419862,92.10601315879315,98.13906432664974,83.44693952195556,68.92227913635557,94.43324846307493,83.23320983485904,99.61276636801152,93.00145391361701,91.10163716816785,90.30844281294318,90.51440296375091,60.56553440344394,89.68503414022429,51.25550437238369,90.00905492271202,93.20533352071516,90.37918741953014,94.57954313718334,88.52318203076148,56.39477849912569,91.48337494237008,89.31196123732153,104.3618825740694,76.45867516638619,100.70834771313328,84.41436686299076,86.5241271947304,73.20646229913085,93.61598249382983,82.32122942626322,93.44586080786351,97.13601486954082,92.01599997597704
