Date,US,AL,AK,AZ,AR,CA,CO,FL,ID,IL,IN,KS,KY,LA,MS,MO,MT,NE,NV,NM,NY,ND,OH,OK,PA,SD,TN,TX,UT,VA,WV,WY
2000-01-01,76962.76918339083,477.4145328288448,25299.048774999996,2.6936461161807252,326.6160053416425,12378.536589361227,741.164441229323,211.20011751613623,0.0,557.265160916982,95.78422969062987,1573.4089169819722,158.19464055196974,4285.053164427227,905.9781954150901,4.291571778321835,579.8275461236957,135.0018909414645,28.35176674827509,2630.588254712394,9.587553972846651,1339.3847006677577,300.1817493879368,2968.2392635802366,68.48252837747606,53.416372134431334,15.796636545737817,18382.20381664048,713.8618758068105,0.41089517026485645,63.91702648564434,2656.8673189398296
2001-01-01,74946.23096228376,426.1439465835744,25029.248475,2.6936461161807252,346.61290362786553,11900.574196305362,654.8663718281912,202.06911373247272,0.0,460.750450923659,92.31444825283774,1549.6226521255287,135.5497511684843,4396.498160730574,891.5512094369017,4.154606721566881,610.353503813758,133.4039652793234,26.11467082127754,2842.7388623008023,7.578733140440685,1317.192365369416,276.2585194747385,2900.7493945243714,73.96113064767415,57.297048742488315,16.0249116403294,17363.97809642511,696.3303485421767,0.5022052081014912,55.9730531938571,2475.124220606707
2002-01-01,74010.98892761406,394.2767433785889,25596.8405,2.9219212107723123,331.04454217671935,11774.429379034054,799.6635774479364,165.86468373024704,0.0,506.86202003115955,89.52949209882037,1523.9188764745159,124.2729614956599,3893.3345020964894,884.2920614288894,4.245916759403516,681.0061199233415,127.0579176496773,25.20157044291119,2771.6438058856493,7.487423102604051,1259.5581929353275,257.0377565101269,2788.6342821339863,105.96529890941467,55.47084798575562,12.646440240373915,16777.45553449193,628.7152655241488,1.1413754729579344,66.51936256398844,2353.950556478616
2003-01-01,72751.72899551905,360.4007193411975,25327.681224999997,2.1914409080792345,329.12703138215,11326.690608502115,808.7715697097358,148.9266717115513,0.0,534.0267562875583,85.19226530158025,1550.9923026930783,115.91809303360783,3730.551888330605,881.0962101046073,3.880676608056978,758.0827243475275,125.64261206320941,22.599234364567103,2655.280438771926,6.528667705319386,1179.6740863869484,258.4530620965947,2723.5082143645673,112.493966614734,56.42960338304028,14.198710883596707,16695.924827927516,597.9894377921211,0.86744535944803,67.56942799910973,2271.0390765448824
2004-01-01,70086.43463277053,339.7189957711997,23678.18145,2.419716002670821,308.0344126418874,10963.550588025817,824.1361543023396,132.58217493879368,0.0,501.47472779879814,80.0789031827287,1546.655075895838,116.42029824170933,3510.1544586925547,878.4482190073447,4.017641664811929,954.38829334767,114.41147740930337,21.183928778099265,2639.9055400027387,7.761353216113956,1136.1383677175425,264.06862942354775,2691.7575988595595,109.34377030937013,61.908205653238376,16.527116848430893,16229.24023398443,673.1832539505897,0.8674453594480303,79.21145782328067,2200.665143920674
2005-01-01,67875.8969512466,358.894103716893,22463.439075,2.374060983752504,281.91974182060983,10511.155005564213,825.8786551841301,118.06387892276874,0.0,466.00077809926546,78.84621767193411,1534.9217360338305,115.7811279768529,3094.804560271097,807.8655597596261,3.880676608056978,1141.90612827997,109.93728555530825,20.40779345648787,2475.0744454123046,9.267968840418428,1204.3204678851755,258.4530620965947,2564.248047812597,112.31134653906074,63.64309637213444,14.792226129534832,16211.674847647559,761.251785444024,1.2783405297128863,77.4765671043846,2186.0283645283116
2006-01-01,64618.00933425328,344.238842644113,19264.938000000002,2.5566810594257734,271.6017075450701,10181.754044068552,884.5972251035269,107.74584464722902,0.0,471.388070331627,80.90069352325841,1628.468869797463,106.83274426886267,2998.4246963590576,792.3885083463166,4.017641664811929,1239.7747625341146,105.60005875806809,19.403383040284886,2497.5617849561927,14.47264099710661,1307.9082899826892,248.3176478967282,2702.3892361918543,118.29215401736035,63.46047629646118,8.857073670153571,16068.582003953836,818.503179167594,0.730480302693078,78.75490763409749,2185.5476854947374
2007-01-01,64050.79992304162,327.39214066325394,18774.482650000005,1.9631658134876473,275.3454190963721,9976.489079011797,896.769562390065,94.82547429334522,0.0,438.6990767861118,78.89187269085244,1670.5627972401512,121.71628043623414,3229.1163649991763,943.780551079457,3.6980565323837076,1160.733306840261,106.6501241931894,18.62724771867349,2386.9139339579083,17.21194213220565,1403.0194880090598,235.44293256176275,2631.7644893576676,127.33184776318717,76.01560649899845,12.920370353883818,15811.917643598,891.8707945693301,0.958755397284665,90.99045270420655,2244.698496353313
2008-01-01,63482.53414029535,351.31537057645227,17798.628925,2.465371021589139,277.49120498553305,9794.416863565548,969.577792516908,89.11859692855555,0.0,430.52682839973295,84.91833518807033,1810.7693603383038,120.75752503894947,2969.9928854838076,1009.2041931894057,4.5655018918317385,871.2726928334007,109.34377030937014,19.859933229468062,2261.8333887995495,17.805457378143775,1657.0137868501074,232.29273625639883,2788.4027566556865,136.96505675495214,77.56787714222123,15.385741375472955,16309.972929430422,1006.1909619407968,0.6848252837747606,97.10822523926107,2167.085246691639
2009-01-01,61095.67458997485,328.25958602270197,16774.270975,2.054475851324282,262.74463387491653,9462.641841086133,994.2238525322826,31.821548186067222,0.0,415.4150171377699,82.31599910972623,1801.7753216113954,119.11394435789006,2862.0977483393817,1065.0402813265077,4.748121967505007,796.7618089555722,102.26724237703093,19.951243267304697,2260.584770699861,15.066156243044738,1549.5868776075258,223.16173247273534,2758.8415389966617,135.50409614956598,75.96995148008011,12.23554507010906,15762.514053986351,1047.4174440240372,0.5478602270198085,68.57383841531271,2060.1670835990326
