DATE,IPG333S
1972-01-01,50.8925
1972-02-01,51.8385
1972-03-01,51.8782
1972-04-01,53.1126
1972-05-01,54.1622
1972-06-01,54.9416
1972-07-01,55.2282
1972-08-01,55.9392
1972-09-01,56.2689
1972-10-01,57.3853
1972-11-01,58.1589
1972-12-01,58.9914
1973-01-01,59.6883
1973-02-01,60.8524
1973-03-01,61.5927
1973-04-01,62.0759
1973-05-01,62.9802
1973-06-01,63.0592
1973-07-01,63.9074
1973-08-01,64.3111
1973-09-01,65.0219
1973-10-01,65.4757
1973-11-01,65.7842
1973-12-01,66.5292
1974-01-01,66.9127
1974-02-01,66.5555
1974-03-01,67.2805
1974-04-01,65.6544
1974-05-01,67.0013
1974-06-01,67.3033
1974-07-01,66.1928
1974-08-01,66.3318
1974-09-01,67.0885
1974-10-01,67.1991
1974-11-01,66.1658
1974-12-01,64.2439
1975-01-01,63.0422
1975-02-01,61.2101
1975-03-01,59.5076
1975-04-01,58.6640
1975-05-01,56.7015
1975-06-01,55.5765
1975-07-01,56.0173
1975-08-01,56.0523
1975-09-01,56.4243
1975-10-01,56.9141
1975-11-01,57.1944
1975-12-01,57.2549
1976-01-01,58.3110
1976-02-01,58.5118
1976-03-01,58.6838
1976-04-01,59.4200
1976-05-01,59.8393
1976-06-01,59.7782
1976-07-01,60.8107
1976-08-01,61.6444
1976-09-01,61.7642
1976-10-01,61.2915
1976-11-01,62.2299
1976-12-01,62.2496
1977-01-01,61.9821
1977-02-01,63.3134
1977-03-01,63.7927
1977-04-01,64.2902
1977-05-01,64.8244
1977-06-01,65.1083
1977-07-01,66.0661
1977-08-01,67.3703
1977-09-01,67.7281
1977-10-01,68.2715
1977-11-01,68.6595
1977-12-01,69.2917
1978-01-01,67.6810
1978-02-01,68.7637
1978-03-01,69.5126
1978-04-01,69.9896
1978-05-01,69.5788
1978-06-01,70.7085
1978-07-01,70.5806
1978-08-01,71.3521
1978-09-01,71.5493
1978-10-01,73.1709
1978-11-01,73.6078
1978-12-01,74.8796
1979-01-01,74.6877
1979-02-01,75.3730
1979-03-01,75.4856
1979-04-01,74.5657
1979-05-01,75.5933
1979-06-01,76.0816
1979-07-01,76.1029
1979-08-01,74.8252
1979-09-01,75.7461
1979-10-01,74.0799
1979-11-01,72.9361
1979-12-01,73.1121
1980-01-01,75.9397
1980-02-01,74.8143
1980-03-01,74.5416
1980-04-01,73.3114
1980-05-01,71.8026
1980-06-01,69.1414
1980-07-01,68.9678
1980-08-01,67.7390
1980-09-01,68.6194
1980-10-01,69.2817
1980-11-01,70.0354
1980-12-01,70.2797
1981-01-01,70.6236
1981-02-01,69.3911
1981-03-01,70.0017
1981-04-01,70.5858
1981-05-01,70.8180
1981-06-01,70.7395
1981-07-01,71.1607
1981-08-01,71.1649
1981-09-01,71.4538
1981-10-01,70.9960
1981-11-01,70.2201
1981-12-01,68.8353
1982-01-01,65.5424
1982-02-01,67.6293
1982-03-01,65.3208
1982-04-01,63.7778
1982-05-01,62.2965
1982-06-01,59.2266
1982-07-01,57.5535
1982-08-01,55.6198
1982-09-01,54.5167
1982-10-01,52.8993
1982-11-01,51.7853
1982-12-01,51.0842
1983-01-01,50.8610
1983-02-01,49.8753
1983-03-01,50.0166
1983-04-01,50.3491
1983-05-01,51.6199
1983-06-01,52.0636
1983-07-01,53.6936
1983-08-01,53.5449
1983-09-01,54.8176
1983-10-01,55.9527
1983-11-01,56.8889
1983-12-01,58.3944
1984-01-01,58.8725
1984-02-01,59.8056
1984-03-01,60.4230
1984-04-01,61.6062
1984-05-01,61.7159
1984-06-01,62.4161
1984-07-01,62.6911
1984-08-01,63.1091
1984-09-01,63.8306
1984-10-01,63.5211
1984-11-01,63.2260
1984-12-01,63.2363
1985-01-01,62.0684
1985-02-01,61.5119
1985-03-01,63.0928
1985-04-01,62.0516
1985-05-01,62.8284
1985-06-01,62.4298
1985-07-01,61.9614
1985-08-01,62.3503
1985-09-01,61.6591
1985-10-01,61.9207
1985-11-01,62.3491
1985-12-01,62.3116
1986-01-01,62.6340
1986-02-01,62.2085
1986-03-01,62.6742
1986-04-01,62.2139
1986-05-01,61.9950
1986-06-01,61.4320
1986-07-01,61.0792
1986-08-01,60.8843
1986-09-01,60.1673
1986-10-01,60.0216
1986-11-01,59.6863
1986-12-01,59.7787
1987-01-01,59.0774
1987-02-01,60.3580
1987-03-01,60.0766
1987-04-01,60.6864
1987-05-01,61.6317
1987-06-01,61.9494
1987-07-01,62.1458
1987-08-01,62.9768
1987-09-01,63.3108
1987-10-01,64.8220
1987-11-01,65.5058
1987-12-01,67.2146
1988-01-01,66.1772
1988-02-01,66.1159
1988-03-01,67.3718
1988-04-01,68.2891
1988-05-01,67.5078
1988-06-01,68.1975
1988-07-01,68.8211
1988-08-01,69.8321
1988-09-01,69.8331
1988-10-01,71.0515
1988-11-01,71.2518
1988-12-01,71.2601
1989-01-01,72.6524
1989-02-01,71.4439
1989-03-01,70.6553
1989-04-01,72.3278
1989-05-01,70.1437
1989-06-01,72.1885
