DATE,IPG311A2S
1972-01-01,63.8862
1972-02-01,63.1501
1972-03-01,63.7849
1972-04-01,64.4025
1972-05-01,64.1321
1972-06-01,64.0339
1972-07-01,63.7887
1972-08-01,64.1696
1972-09-01,63.8421
1972-10-01,64.4498
1972-11-01,63.9060
1972-12-01,64.7920
1973-01-01,64.5240
1973-02-01,64.9197
1973-03-01,64.4897
1973-04-01,63.8452
1973-05-01,65.3062
1973-06-01,63.9324
1973-07-01,63.8300
1973-08-01,63.2485
1973-09-01,64.2448
1973-10-01,64.9758
1973-11-01,66.3644
1973-12-01,66.0052
1974-01-01,66.6315
1974-02-01,66.4333
1974-03-01,66.6366
1974-04-01,65.1413
1974-05-01,66.6503
1974-06-01,67.1519
1974-07-01,65.7122
1974-08-01,65.9658
1974-09-01,65.4067
1974-10-01,65.4831
1974-11-01,64.5867
1974-12-01,63.5634
1975-01-01,62.7877
1975-02-01,62.0263
1975-03-01,61.9446
1975-04-01,63.0864
1975-05-01,62.9846
1975-06-01,64.2539
1975-07-01,65.0296
1975-08-01,64.7128
1975-09-01,65.2941
1975-10-01,66.4612
1975-11-01,67.1604
1975-12-01,67.0230
1976-01-01,67.9078
1976-02-01,67.7867
1976-03-01,67.4635
1976-04-01,67.8228
1976-05-01,69.1220
1976-06-01,68.5542
1976-07-01,69.4918
1976-08-01,68.9367
1976-09-01,69.3984
1976-10-01,69.6696
1976-11-01,69.9478
1976-12-01,69.8382
1977-01-01,70.0553
1977-02-01,70.5678
1977-03-01,70.3328
1977-04-01,70.6405
1977-05-01,69.7157
1977-06-01,69.4531
1977-07-01,69.5970
1977-08-01,69.8454
1977-09-01,69.6927
1977-10-01,70.1506
1977-11-01,71.1529
1977-12-01,72.1409
1978-01-01,71.6241
1978-02-01,72.2216
1978-03-01,72.6933
1978-04-01,73.3436
1978-05-01,72.5301
1978-06-01,73.4678
1978-07-01,72.4910
1978-08-01,72.9189
1978-09-01,72.6364
1978-10-01,72.6558
1978-11-01,73.4271
1978-12-01,73.4410
1979-01-01,72.5039
1979-02-01,71.8434
1979-03-01,72.7597
1979-04-01,72.5047
1979-05-01,72.6784
1979-06-01,72.8249
1979-07-01,71.9468
1979-08-01,71.8171
1979-09-01,71.6071
1979-10-01,72.4192
1979-11-01,72.2080
1979-12-01,72.9363
1980-01-01,73.2529
1980-02-01,73.6392
1980-03-01,73.0838
1980-04-01,72.8948
1980-05-01,73.6134
1980-06-01,73.4954
1980-07-01,73.1301
1980-08-01,73.4477
1980-09-01,73.3985
1980-10-01,74.0892
1980-11-01,73.7355
1980-12-01,74.1246
1981-01-01,73.8873
1981-02-01,74.4425
1981-03-01,74.0998
1981-04-01,73.7492
1981-05-01,74.4401
1981-06-01,73.1937
1981-07-01,73.2786
1981-08-01,73.7301
1981-09-01,73.6437
1981-10-01,74.5998
1981-11-01,75.3451
