DATE,IPG3364T9S
1972-01-01,54.0929
1972-02-01,54.1522
1972-03-01,54.2680
1972-04-01,54.0774
1972-05-01,52.6970
1972-06-01,52.1517
1972-07-01,51.7840
1972-08-01,51.8993
1972-09-01,52.3069
1972-10-01,53.1991
1972-11-01,54.8946
1972-12-01,56.2601
1973-01-01,57.3417
1973-02-01,58.9940
1973-03-01,59.3300
1973-04-01,59.8438
1973-05-01,60.1860
1973-06-01,60.7530
1973-07-01,61.6892
1973-08-01,61.8504
1973-09-01,62.2444
1973-10-01,63.3337
1973-11-01,63.1859
1973-12-01,62.6112
1974-01-01,62.1650
1974-02-01,61.5802
1974-03-01,61.3573
1974-04-01,60.7835
1974-05-01,61.3654
1974-06-01,60.9492
1974-07-01,61.8876
1974-08-01,62.7438
1974-09-01,62.8633
1974-10-01,63.1946
1974-11-01,62.8887
1974-12-01,61.7389
1975-01-01,61.5201
1975-02-01,58.9303
1975-03-01,59.2704
1975-04-01,58.2484
1975-05-01,59.8424
1975-06-01,59.9788
1975-07-01,58.8700
1975-08-01,57.9524
1975-09-01,58.5580
1975-10-01,58.0261
1975-11-01,56.5804
1975-12-01,58.3216
1976-01-01,58.1160
1976-02-01,57.3338
1976-03-01,57.4609
1976-04-01,56.3972
1976-05-01,55.6194
1976-06-01,54.7169
1976-07-01,52.8613
1976-08-01,53.3438
1976-09-01,53.1424
1976-10-01,53.4510
1976-11-01,54.2761
1976-12-01,54.2017
1977-01-01,54.5698
1977-02-01,55.3284
1977-03-01,54.6788
1977-04-01,56.4292
1977-05-01,57.6563
1977-06-01,58.8293
1977-07-01,58.0920
1977-08-01,56.8018
1977-09-01,56.7811
1977-10-01,51.9479
1977-11-01,51.5644
1977-12-01,53.6196
1978-01-01,54.2756
1978-02-01,53.4287
1978-03-01,57.6608
1978-04-01,59.3938
1978-05-01,60.6426
1978-06-01,61.8812
1978-07-01,62.0465
1978-08-01,63.5157
1978-09-01,64.6193
1978-10-01,65.2129
1978-11-01,65.3719
1978-12-01,66.6869
1979-01-01,67.5718
1979-02-01,69.2070
1979-03-01,69.2650
1979-04-01,68.1096
1979-05-01,69.2710
1979-06-01,70.0966
1979-07-01,71.7119
1979-08-01,72.7129
1979-09-01,72.4143
1979-10-01,74.4647
1979-11-01,74.9377
1979-12-01,75.5745
1980-01-01,75.6372
1980-02-01,77.3131
1980-03-01,77.0482
1980-04-01,76.0647
1980-05-01,75.6970
1980-06-01,76.1100
1980-07-01,75.9624
1980-08-01,76.2557
1980-09-01,76.5638
1980-10-01,77.5706
1980-11-01,78.3043
