DATE,IPG3361T3S
1981-08-01,39.5274
1981-09-01,37.2496
1981-10-01,37.3856
1981-11-01,34.9914
1981-12-01,33.4018
1982-01-01,30.8109
1982-02-01,32.1895
1982-03-01,34.2839
1982-04-01,36.0810
1982-05-01,37.5072
1982-06-01,37.8458
1982-07-01,39.4870
1982-08-01,36.9581
1982-09-01,35.3258
1982-10-01,33.1445
1982-11-01,33.2223
1982-12-01,35.3731
1983-01-01,37.4791
1983-02-01,39.9383
1983-03-01,39.9721
1983-04-01,40.9829
1983-05-01,42.1837
1983-06-01,43.8633
1983-07-01,45.2242
1983-08-01,48.0309
1983-09-01,49.1119
1983-10-01,50.0979
1983-11-01,50.2174
1983-12-01,51.8856
1984-01-01,54.8251
1984-02-01,54.0258
1984-03-01,54.5741
1984-04-01,52.9694
1984-05-01,51.9677
1984-06-01,52.3679
1984-07-01,53.9143
1984-08-01,55.0493
1984-09-01,52.6620
1984-10-01,52.1960
1984-11-01,54.7557
1984-12-01,56.2655
1985-01-01,57.4103
1985-02-01,55.3203
1985-03-01,55.7542
1985-04-01,55.3177
1985-05-01,54.9468
1985-06-01,54.8747
1985-07-01,56.8902
1985-08-01,56.2151
1985-09-01,55.9357
1985-10-01,55.5805
1985-11-01,56.7543
1985-12-01,55.4889
1986-01-01,57.8727
1986-02-01,57.3683
1986-03-01,55.7156
1986-04-01,54.5570
1986-05-01,54.1402
1986-06-01,55.4462
1986-07-01,55.5424
1986-08-01,54.7120
1986-09-01,56.4834
1986-10-01,55.1579
1986-11-01,55.8963
1986-12-01,57.3525
1987-01-01,57.9261
1987-02-01,60.6747
1987-03-01,59.2297
1987-04-01,58.3728
1987-05-01,57.1155
1987-06-01,55.7340
1987-07-01,55.1546
1987-08-01,55.5526
1987-09-01,56.8270
1987-10-01,60.3125
1987-11-01,59.9561
1987-12-01,58.3940
1988-01-01,57.9854
1988-02-01,58.6317
1988-03-01,59.4006
1988-04-01,62.3171
1988-05-01,63.0192
1988-06-01,63.5691
1988-07-01,58.9674
1988-08-01,60.4728
1988-09-01,62.9748
1988-10-01,63.6944
1988-11-01,65.3531
1988-12-01,66.3793
1989-01-01,67.6010
1989-02-01,66.6353
1989-03-01,64.7062
1989-04-01,64.4053
1989-05-01,62.1237
1989-06-01,59.4346
