DATE,IPG327S
1972-01-01,93.4721
1972-02-01,93.4663
1972-03-01,93.6869
1972-04-01,93.7268
1972-05-01,93.9118
1972-06-01,94.3767
1972-07-01,94.8386
1972-08-01,96.3393
1972-09-01,95.9028
1972-10-01,96.6735
1972-11-01,96.0883
1972-12-01,95.4701
1973-01-01,97.1162
1973-02-01,99.7803
1973-03-01,101.7332
1973-04-01,101.8021
1973-05-01,102.0664
1973-06-01,101.9505
1973-07-01,102.6133
1973-08-01,102.2676
1973-09-01,102.2576
1973-10-01,102.1245
1973-11-01,103.0181
1973-12-01,104.7767
1974-01-01,104.4064
1974-02-01,104.2526
1974-03-01,103.4813
1974-04-01,103.1327
1974-05-01,102.7591
1974-06-01,102.3488
1974-07-01,101.2401
1974-08-01,100.0807
1974-09-01,99.1433
1974-10-01,98.7436
1974-11-01,96.0830
1974-12-01,92.1689
1975-01-01,92.6604
1975-02-01,89.3652
1975-03-01,85.7985
1975-04-01,86.5211
1975-05-01,87.8463
1975-06-01,87.7864
1975-07-01,90.0491
1975-08-01,90.4914
1975-09-01,93.2385
1975-10-01,92.6711
1975-11-01,92.3882
1975-12-01,92.7145
1976-01-01,94.1942
1976-02-01,94.4392
1976-03-01,94.1424
1976-04-01,94.7777
1976-05-01,94.8179
1976-06-01,95.1166
1976-07-01,95.0576
1976-08-01,95.0712
1976-09-01,95.6521
1976-10-01,95.4590
1976-11-01,95.9950
1976-12-01,96.8215
1977-01-01,92.4940
1977-02-01,95.1452
1977-03-01,99.6461
1977-04-01,101.0238
1977-05-01,101.3914
1977-06-01,102.5866
1977-07-01,104.0556
1977-08-01,103.9217
1977-09-01,102.1593
1977-10-01,102.4395
1977-11-01,104.7746
1977-12-01,105.5236
1978-01-01,102.9074
1978-02-01,102.4495
1978-03-01,105.5425
1978-04-01,109.4998
1978-05-01,109.9184
1978-06-01,109.6407
1978-07-01,109.0165
1978-08-01,109.0281
1978-09-01,108.2903
1978-10-01,109.1133
1978-11-01,109.2330
1978-12-01,110.8460
1979-01-01,106.2712
1979-02-01,106.6061
1979-03-01,109.6108
1979-04-01,108.7062
1979-05-01,110.6514
1979-06-01,110.1387
1979-07-01,108.2234
1979-08-01,107.9233
1979-09-01,104.4813
1979-10-01,107.1761
1979-11-01,106.3397
1979-12-01,107.0120
1980-01-01,105.1501
1980-02-01,102.7170
1980-03-01,99.5190
1980-04-01,96.6636
