DATE,IPG335S
1972-01-01,78.9319
1972-02-01,79.8591
1972-03-01,78.2795
1972-04-01,79.5567
1972-05-01,78.7440
1972-06-01,78.5131
1972-07-01,79.6099
1972-08-01,79.5807
1972-09-01,80.4893
1972-10-01,82.8076
1972-11-01,84.5616
1972-12-01,87.8874
1973-01-01,88.6051
1973-02-01,88.3463
1973-03-01,89.8950
1973-04-01,89.2834
1973-05-01,89.8501
1973-06-01,90.5881
1973-07-01,91.9126
1973-08-01,90.3336
1973-09-01,92.3452
1973-10-01,93.2819
1973-11-01,93.3422
1973-12-01,92.5035
1974-01-01,91.8675
1974-02-01,89.7199
1974-03-01,90.6167
1974-04-01,90.6684
1974-05-01,91.5544
1974-06-01,91.2413
1974-07-01,91.7156
1974-08-01,90.8933
1974-09-01,89.1076
1974-10-01,86.0375
1974-11-01,83.1075
1974-12-01,77.8279
1975-01-01,74.6114
1975-02-01,73.6448
1975-03-01,71.3829
1975-04-01,70.6791
1975-05-01,69.5720
1975-06-01,68.7255
1975-07-01,69.7095
1975-08-01,69.7406
1975-09-01,70.5840
1975-10-01,71.3461
1975-11-01,71.8950
1975-12-01,72.9749
1976-01-01,76.2104
1976-02-01,77.6778
1976-03-01,78.6295
1976-04-01,79.6321
1976-05-01,79.9988
1976-06-01,80.3737
1976-07-01,80.2624
1976-08-01,81.5026
1976-09-01,80.9153
1976-10-01,82.8961
1976-11-01,84.3774
1976-12-01,81.7734
1977-01-01,84.7055
1977-02-01,84.4203
1977-03-01,86.7343
1977-04-01,87.7255
1977-05-01,88.7237
1977-06-01,90.1187
1977-07-01,88.3161
1977-08-01,89.9614
1977-09-01,90.5858
1977-10-01,89.9347
1977-11-01,89.9186
1977-12-01,92.6035
1978-01-01,91.7116
1978-02-01,91.1685
1978-03-01,91.2594
1978-04-01,93.3627
1978-05-01,94.3348
1978-06-01,95.0004
1978-07-01,94.5444
1978-08-01,95.1267
1978-09-01,95.5324
1978-10-01,95.6992
1978-11-01,94.7308
1978-12-01,96.0364
1979-01-01,96.8862
1979-02-01,98.9395
1979-03-01,98.2830
1979-04-01,95.9830
1979-05-01,97.5874
1979-06-01,97.9229
1979-07-01,97.5021
1979-08-01,94.6458
1979-09-01,98.0923
1979-10-01,97.9707
1979-11-01,99.2000
1979-12-01,102.0739
1980-01-01,99.3921
1980-02-01,97.6444
1980-03-01,96.6158
1980-04-01,94.2175
1980-05-01,88.8248
1980-06-01,87.1051
1980-07-01,86.4947
1980-08-01,89.5952
1980-09-01,89.3686
1980-10-01,91.0169
1980-11-01,92.8846
1980-12-01,91.7088
1981-01-01,91.4285
1981-02-01,90.0444
1981-03-01,90.9425
1981-04-01,91.3567
1981-05-01,93.3142
1981-06-01,92.6233
1981-07-01,93.3242
1981-08-01,92.3679
1981-09-01,92.0699
1981-10-01,91.1565
1981-11-01,88.1923
1981-12-01,84.1681
1982-01-01,84.8804
1982-02-01,88.3654
1982-03-01,84.9665
1982-04-01,85.6318
1982-05-01,84.1631
1982-06-01,83.4299
1982-07-01,81.2494
1982-08-01,79.6811
1982-09-01,78.3292
1982-10-01,78.0810
1982-11-01,77.8635
1982-12-01,76.0253
1983-01-01,78.7120
1983-02-01,78.2455
1983-03-01,81.0284
1983-04-01,81.7540
1983-05-01,83.0720
1983-06-01,83.9617
1983-07-01,84.9617
1983-08-01,85.2361
1983-09-01,88.8065
1983-10-01,88.8643
1983-11-01,90.6625
1983-12-01,90.5539
1984-01-01,94.0873
1984-02-01,95.1495
1984-03-01,95.4552
1984-04-01,94.1626
1984-05-01,92.9685
1984-06-01,94.9663
1984-07-01,95.6462
1984-08-01,96.0050
1984-09-01,95.5063
1984-10-01,96.8892
1984-11-01,96.6339
1984-12-01,95.9359
1985-01-01,93.3617
1985-02-01,95.3257
1985-03-01,94.6820
1985-04-01,93.4600
1985-05-01,94.6928
1985-06-01,93.8933
1985-07-01,93.2485
1985-08-01,94.1582
1985-09-01,94.1135
1985-10-01,91.6610
1985-11-01,92.5461
1985-12-01,94.6478
1986-01-01,95.5159
1986-02-01,95.0487
1986-03-01,95.5311
1986-04-01,96.6040
1986-05-01,96.0533
1986-06-01,95.3242
1986-07-01,95.1946
1986-08-01,94.8014
1986-09-01,94.7079
1986-10-01,95.4791
1986-11-01,95.1112
1986-12-01,97.3040
1987-01-01,93.8501
1987-02-01,94.7886
1987-03-01,95.5117
1987-04-01,95.7478
1987-05-01,95.6724
1987-06-01,97.4244
1987-07-01,96.4678
1987-08-01,97.7557
1987-09-01,97.3397
1987-10-01,99.2981
1987-11-01,99.1081
1987-12-01,98.8970
1988-01-01,100.5243
1988-02-01,101.6281
1988-03-01,100.7570
1988-04-01,100.6354
1988-05-01,101.9472
1988-06-01,101.3535
1988-07-01,100.8540
1988-08-01,100.4929
1988-09-01,101.3858
1988-10-01,102.8250
1988-11-01,103.4993
1988-12-01,102.2482
1989-01-01,102.8938
1989-02-01,101.8393
1989-03-01,100.7212
1989-04-01,100.4776
1989-05-01,99.6011
1989-06-01,99.2504
1989-07-01,100.4459
1989-08-01,99.3434
1989-09-01,99.8386
1989-10-01,99.1232
1989-11-01,98.2853
1989-12-01,97.8962
1990-01-01,100.2950
1990-02-01,98.8517
1990-03-01,100.4100
1990-04-01,99.4275
1990-05-01,99.4148
1990-06-01,97.4242
1990-07-01,96.5994
1990-08-01,97.9734
1990-09-01,96.4360
1990-10-01,94.9496
1990-11-01,94.3442
1990-12-01,93.0080
1991-01-01,92.2895
1991-02-01,90.4597
1991-03-01,89.9015
1991-04-01,91.0767
1991-05-01,90.9466
1991-06-01,93.0003
1991-07-01,91.9627
1991-08-01,92.4699
1991-09-01,93.3505
1991-10-01,93.4189
1991-11-01,94.7752
1991-12-01,94.7620
1992-01-01,93.1354
1992-02-01,96.2037
1992-03-01,96.1783
1992-04-01,96.7804
1992-05-01,97.6044
1992-06-01,98.0911
1992-07-01,97.5728
1992-08-01,98.9134
1992-09-01,98.9536
1992-10-01,99.6000
1992-11-01,100.5733
1992-12-01,101.1869
1993-01-01,100.3771
1993-02-01,101.1049
1993-03-01,103.0777
1993-04-01,103.3737
1993-05-01,103.5583
1993-06-01,102.7385
1993-07-01,103.8144
1993-08-01,103.7858
1993-09-01,105.3660
1993-10-01,106.7793
1993-11-01,106.7404
1993-12-01,107.4528
1994-01-01,109.4666
1994-02-01,110.5137
1994-03-01,110.3900
1994-04-01,111.2048
1994-05-01,110.7960
1994-06-01,111.2469
1994-07-01,111.2913
1994-08-01,112.8786
1994-09-01,113.2915
1994-10-01,112.9536
1994-11-01,111.7683
1994-12-01,113.9756
1995-01-01,113.4401
1995-02-01,112.8263
1995-03-01,113.2715
1995-04-01,112.2972
1995-05-01,114.4935
1995-06-01,113.6571
1995-07-01,112.6577
1995-08-01,115.0738
1995-09-01,114.7554
1995-10-01,115.4942
1995-11-01,116.3693
1995-12-01,116.3620
1996-01-01,115.5712
1996-02-01,117.8533
1996-03-01,117.3036
1996-04-01,116.5466
1996-05-01,116.6800
1996-06-01,117.8444
1996-07-01,117.7198
1996-08-01,118.8034
1996-09-01,118.6263
1996-10-01,117.6593
1996-11-01,118.3473
1996-12-01,118.5048
1997-01-01,118.5562
1997-02-01,120.0803
1997-03-01,121.3438
1997-04-01,120.8378
1997-05-01,121.8587
1997-06-01,122.0176
1997-07-01,121.9746
1997-08-01,122.3138
1997-09-01,122.3227
1997-10-01,123.3171
1997-11-01,125.1633
1997-12-01,124.4991
1998-01-01,126.3382
1998-02-01,126.1547
1998-03-01,125.7064
1998-04-01,125.1628
1998-05-01,127.0641
1998-06-01,127.1283
1998-07-01,126.1666
1998-08-01,126.5060
1998-09-01,126.4678
1998-10-01,127.4258
1998-11-01,127.0895
1998-12-01,125.9515
1999-01-01,127.7333
1999-02-01,127.5397
1999-03-01,125.7305
1999-04-01,127.4708
1999-05-01,126.8566
