DATE,IPG323S
1972-01-01,64.9448
1972-02-01,65.8897
1972-03-01,66.8937
1972-04-01,65.5289
1972-05-01,66.1005
1972-06-01,66.3804
1972-07-01,65.9388
1972-08-01,67.2138
1972-09-01,65.9986
1972-10-01,67.0858
1972-11-01,66.9662
1972-12-01,66.6926
1973-01-01,67.1505
1973-02-01,67.0950
1973-03-01,68.4403
1973-04-01,68.6840
1973-05-01,69.3376
1973-06-01,69.8441
1973-07-01,71.3966
1973-08-01,71.4686
1973-09-01,71.4982
1973-10-01,71.9574
1973-11-01,70.0038
1973-12-01,69.8264
1974-01-01,68.1408
1974-02-01,68.0911
1974-03-01,67.7450
1974-04-01,68.2299
1974-05-01,68.7600
1974-06-01,69.0888
1974-07-01,67.6939
1974-08-01,67.2708
1974-09-01,67.9532
1974-10-01,66.6636
1974-11-01,66.3601
1974-12-01,64.8341
1975-01-01,64.9987
1975-02-01,63.8236
1975-03-01,62.0362
1975-04-01,61.4023
1975-05-01,62.0365
1975-06-01,62.1755
1975-07-01,63.2029
1975-08-01,64.1194
1975-09-01,62.2166
1975-10-01,63.5079
1975-11-01,63.7901
1975-12-01,64.4315
1976-01-01,64.5807
1976-02-01,65.0201
1976-03-01,66.0937
1976-04-01,65.8037
1976-05-01,67.4706
1976-06-01,66.7184
1976-07-01,68.9345
1976-08-01,67.9400
1976-09-01,70.6229
1976-10-01,70.3387
1976-11-01,68.7453
1976-12-01,70.0450
1977-01-01,70.3478
1977-02-01,71.1649
1977-03-01,71.8111
1977-04-01,73.3970
1977-05-01,72.3619
1977-06-01,73.3987
1977-07-01,73.4043
1977-08-01,74.2264
1977-09-01,73.9332
1977-10-01,74.1427
1977-11-01,75.7686
1977-12-01,76.1875
1978-01-01,76.9260
1978-02-01,75.5015
1978-03-01,77.0282
1978-04-01,76.8754
1978-05-01,76.6849
1978-06-01,77.6089
1978-07-01,78.2122
1978-08-01,77.9673
1978-09-01,78.7825
1978-10-01,78.9770
1978-11-01,79.1145
1978-12-01,77.9905
1979-01-01,78.6188
1979-02-01,79.7851
1979-03-01,78.8430
1979-04-01,79.4734
1979-05-01,80.7077
1979-06-01,80.6639
1979-07-01,79.6259
1979-08-01,81.3242
1979-09-01,79.1043
1979-10-01,80.3355
1979-11-01,80.6342
1979-12-01,80.3777
1980-01-01,80.5009
1980-02-01,81.1571
1980-03-01,81.1289
1980-04-01,80.2198
1980-05-01,80.7770
1980-06-01,79.1301
1980-07-01,79.9186
1980-08-01,79.6605
1980-09-01,80.3252
1980-10-01,80.7212
1980-11-01,81.4108
1980-12-01,81.8754
1981-01-01,80.8509
1981-02-01,81.0025
1981-03-01,80.1421
1981-04-01,80.7548
1981-05-01,81.1938
1981-06-01,82.7713
1981-07-01,83.1315
1981-08-01,83.1338
1981-09-01,84.0441
1981-10-01,84.2521
1981-11-01,84.0896
1981-12-01,86.1229
1982-01-01,85.9610
1982-02-01,86.8554
1982-03-01,87.3047
1982-04-01,88.0940
1982-05-01,89.0704
1982-06-01,88.8212
1982-07-01,90.7436
1982-08-01,90.0264
1982-09-01,91.2673
1982-10-01,90.0074
1982-11-01,89.9371
1982-12-01,88.4833
1983-01-01,90.8306
1983-02-01,91.1037
1983-03-01,92.4220
1983-04-01,92.4668
1983-05-01,93.0428
1983-06-01,94.5437
1983-07-01,95.4441
1983-08-01,95.9428
1983-09-01,98.5325
1983-10-01,100.2325
1983-11-01,100.2117
1983-12-01,101.0774
1984-01-01,99.9511
1984-02-01,100.5041
1984-03-01,101.5028
1984-04-01,100.5954
1984-05-01,104.1034
1984-06-01,104.4403
1984-07-01,105.7440
1984-08-01,106.3154
1984-09-01,105.0441
1984-10-01,107.0320
1984-11-01,107.0512
1984-12-01,105.4502
1985-01-01,105.4866
1985-02-01,106.3854
1985-03-01,106.5919
1985-04-01,107.6306
1985-05-01,110.3091
1985-06-01,108.2296
1985-07-01,105.4250
1985-08-01,110.0794
1985-09-01,110.7487
1985-10-01,108.4174
1985-11-01,108.7246
1985-12-01,110.1873
1986-01-01,112.2879
1986-02-01,110.0726
1986-03-01,110.1392
1986-04-01,111.8424
1986-05-01,111.4940
1986-06-01,112.4762
1986-07-01,113.2844
1986-08-01,114.5479
1986-09-01,115.3438
1986-10-01,116.9561
1986-11-01,116.4721
1986-12-01,118.5653
1987-01-01,116.8428
1987-02-01,117.1828
1987-03-01,117.9724
1987-04-01,119.2148
1987-05-01,120.9232
1987-06-01,123.8154
1987-07-01,124.1907
1987-08-01,124.1260
1987-09-01,123.8001
1987-10-01,126.1242
1987-11-01,125.0062
1987-12-01,125.1158
1988-01-01,125.5544
1988-02-01,127.3502
1988-03-01,125.1012
1988-04-01,126.7574
1988-05-01,125.3260
1988-06-01,123.8746
1988-07-01,125.3152
1988-08-01,127.1863
1988-09-01,125.7906
1988-10-01,126.5684
1988-11-01,126.1187
1988-12-01,126.0738
1989-01-01,126.0886
1989-02-01,126.5030
1989-03-01,126.9961
1989-04-01,125.6751
1989-05-01,125.4438
1989-06-01,127.7565
1989-07-01,124.1564
1989-08-01,125.9165
1989-09-01,128.2993
1989-10-01,126.2563
1989-11-01,127.2627
1989-12-01,126.7419
1990-01-01,129.9893
1990-02-01,129.9833
1990-03-01,130.9908
1990-04-01,129.6253
1990-05-01,132.5138
1990-06-01,131.0541
1990-07-01,131.4958
1990-08-01,132.0083
1990-09-01,131.3962
1990-10-01,132.4564
1990-11-01,131.9546
1990-12-01,130.8870
1991-01-01,128.7043
1991-02-01,127.0663
1991-03-01,125.5567
1991-04-01,125.8448
1991-05-01,126.2648
1991-06-01,127.4138
1991-07-01,127.0305
1991-08-01,126.4803
1991-09-01,127.2527
1991-10-01,126.1698
1991-11-01,128.4022
1991-12-01,128.7636
1992-01-01,132.1036
1992-02-01,130.1713
1992-03-01,131.8766
1992-04-01,132.8026
1992-05-01,133.1854
1992-06-01,133.9069
1992-07-01,134.7032
1992-08-01,135.5321
1992-09-01,136.2740
1992-10-01,136.2338
1992-11-01,135.7862
1992-12-01,135.9929
1993-01-01,135.7141
1993-02-01,135.4227
1993-03-01,134.4920
1993-04-01,136.2185
1993-05-01,134.7700
1993-06-01,133.9977
1993-07-01,133.0089
1993-08-01,133.4422
1993-09-01,134.9338
1993-10-01,133.8626
1993-11-01,133.4364
1993-12-01,133.5917
1994-01-01,133.0816
1994-02-01,134.6096
1994-03-01,136.7770
1994-04-01,135.7210
1994-05-01,135.9816
1994-06-01,136.9025
1994-07-01,135.7803
1994-08-01,134.0784
1994-09-01,135.6186
1994-10-01,137.2482
1994-11-01,137.2141
1994-12-01,137.3536
1995-01-01,136.7388
1995-02-01,136.5835
1995-03-01,136.5419
1995-04-01,136.3425
1995-05-01,137.2014
1995-06-01,138.0409
1995-07-01,137.6358
1995-08-01,139.3877
1995-09-01,139.2113
1995-10-01,137.9138
1995-11-01,139.3030
1995-12-01,139.5550
1996-01-01,138.3730
1996-02-01,138.8332
1996-03-01,138.9571
1996-04-01,137.2349
1996-05-01,138.7426
1996-06-01,138.2681
1996-07-01,138.9074
1996-08-01,139.7536
1996-09-01,139.0207
1996-10-01,138.5060
1996-11-01,140.2564
1996-12-01,139.5548
1997-01-01,140.8375
1997-02-01,141.4446
1997-03-01,142.2873
1997-04-01,141.0618
1997-05-01,141.6158
1997-06-01,140.6598
1997-07-01,141.3732
1997-08-01,140.7796
1997-09-01,141.8759
1997-10-01,141.8209
1997-11-01,143.2689
1997-12-01,143.4007
1998-01-01,142.8815
1998-02-01,143.6594
1998-03-01,143.3346
1998-04-01,142.6420
1998-05-01,143.7000
1998-06-01,143.4249
1998-07-01,143.5520
1998-08-01,144.2409
1998-09-01,143.5402
1998-10-01,143.6387
1998-11-01,143.5834
1998-12-01,143.7200
1999-01-01,144.1030
1999-02-01,143.5725
1999-03-01,142.8480
1999-04-01,143.2811
1999-05-01,142.6642
1999-06-01,142.4845
1999-07-01,142.0722
1999-08-01,141.8806
1999-09-01,141.9244
1999-10-01,142.8976
1999-11-01,143.7258
1999-12-01,143.2911
2000-01-01,143.6897
2000-02-01,143.7710
2000-03-01,143.4633
2000-04-01,145.3833
2000-05-01,144.4881
2000-06-01,145.3910
2000-07-01,145.3588
2000-08-01,144.5257
2000-09-01,144.0837
