DATE,IPG315A6S
1972-01-01,495.4916
1972-02-01,493.5199
1972-03-01,492.9730
1972-04-01,494.8332
1972-05-01,491.9826
1972-06-01,490.1744
1972-07-01,492.6686
1972-08-01,502.5658
1972-09-01,507.4345
1972-10-01,508.5454
1972-11-01,514.9776
1972-12-01,509.8076
1973-01-01,502.5246
1973-02-01,516.4360
1973-03-01,522.9096
1973-04-01,520.3270
1973-05-01,513.6335
1973-06-01,511.3510
1973-07-01,501.9189
1973-08-01,505.9757
1973-09-01,501.7593
1973-10-01,499.6532
1973-11-01,499.4232
1973-12-01,496.8462
1974-01-01,491.4052
1974-02-01,489.6907
1974-03-01,487.1800
1974-04-01,481.0874
1974-05-01,480.1159
1974-06-01,470.2418
1974-07-01,481.1126
1974-08-01,482.1751
1974-09-01,477.8388
1974-10-01,476.6369
1974-11-01,467.9568
1974-12-01,447.0690
1975-01-01,434.5562
1975-02-01,426.4582
1975-03-01,423.2547
1975-04-01,434.0143
1975-05-01,445.5431
1975-06-01,459.0644
1975-07-01,477.7276
1975-08-01,486.4152
1975-09-01,492.2615
1975-10-01,501.3150
1975-11-01,506.6904
1975-12-01,507.8071
1976-01-01,508.9723
1976-02-01,506.3584
1976-03-01,505.2852
1976-04-01,500.1998
1976-05-01,496.7673
1976-06-01,488.5624
1976-07-01,485.8038
1976-08-01,476.4566
1976-09-01,482.1549
1976-10-01,475.9737
1976-11-01,476.3195
1976-12-01,480.2856
1977-01-01,474.5404
1977-02-01,497.3054
1977-03-01,500.0957
1977-04-01,504.9298
1977-05-01,512.0586
1977-06-01,518.1439
1977-07-01,517.0106
1977-08-01,519.8725
1977-09-01,521.8573
1977-10-01,533.2869
1977-11-01,534.0074
1977-12-01,535.0391
1978-01-01,509.8515
1978-02-01,525.7552
1978-03-01,538.2758
1978-04-01,539.6939
1978-05-01,536.4845
1978-06-01,534.9040
1978-07-01,527.2868
1978-08-01,525.7780
1978-09-01,525.9087
1978-10-01,516.0202
1978-11-01,513.1433
1978-12-01,510.7886
1979-01-01,507.3658
1979-02-01,496.4181
1979-03-01,497.3773
1979-04-01,491.1775
1979-05-01,487.0712
1979-06-01,488.1721
1979-07-01,486.2640
1979-08-01,489.0959
1979-09-01,489.1536
1979-10-01,490.4320
1979-11-01,492.3414
1979-12-01,499.7977
1980-01-01,505.3689
1980-02-01,507.7874
1980-03-01,508.6384
1980-04-01,511.3722
1980-05-01,504.3949
1980-06-01,503.1925
1980-07-01,500.4823
1980-08-01,506.1869
1980-09-01,496.4297
1980-10-01,495.9952
1980-11-01,493.2471
1980-12-01,494.2256
1981-01-01,490.7208
1981-02-01,494.0857
1981-03-01,493.6791
1981-04-01,496.4302
1981-05-01,498.5307
1981-06-01,500.4521
1981-07-01,506.7558
1981-08-01,511.8039
1981-09-01,509.7213
1981-10-01,510.3856
1981-11-01,511.8421
1981-12-01,502.0022
1982-01-01,476.4124
1982-02-01,502.5763
1982-03-01,499.6830
1982-04-01,496.9095
1982-05-01,498.1462
1982-06-01,504.9388
1982-07-01,496.8721
1982-08-01,502.0328
1982-09-01,510.2250
1982-10-01,506.7997
1982-11-01,501.6334
1982-12-01,494.0968
1983-01-01,510.4862
1983-02-01,494.2505
1983-03-01,500.3457
1983-04-01,506.4373
1983-05-01,509.0219
1983-06-01,510.2432
1983-07-01,514.6178
1983-08-01,515.3252
1983-09-01,525.3870
1983-10-01,524.6586
1983-11-01,524.8665
1983-12-01,524.3280
1984-01-01,527.3618
