DATE,IPG331S
1972-01-01,104.1850
1972-02-01,107.8131
1972-03-01,112.9348
1972-04-01,114.6004
1972-05-01,115.9874
1972-06-01,115.8262
1972-07-01,113.2130
1972-08-01,116.3823
1972-09-01,116.8013
1972-10-01,118.7378
1972-11-01,121.5071
1972-12-01,126.4131
1973-01-01,128.1773
1973-02-01,130.6024
1973-03-01,130.5850
1973-04-01,129.1602
1973-05-01,132.6122
1973-06-01,132.0073
1973-07-01,134.6925
1973-08-01,135.8981
1973-09-01,135.5030
1973-10-01,136.9440
1973-11-01,140.1948
1973-12-01,145.7449
1974-01-01,143.1392
1974-02-01,140.0540
1974-03-01,136.9810
1974-04-01,139.6223
1974-05-01,139.8931
1974-06-01,141.1256
1974-07-01,140.7828
1974-08-01,136.2638
1974-09-01,138.6307
1974-10-01,139.1396
1974-11-01,132.3218
1974-12-01,122.6969
1975-01-01,123.2672
1975-02-01,121.3960
1975-03-01,118.1002
1975-04-01,108.9092
1975-05-01,100.7331
1975-06-01,100.4605
1975-07-01,99.0702
1975-08-01,100.6378
1975-09-01,103.7394
1975-10-01,100.9488
1975-11-01,101.0464
1975-12-01,101.8179
1976-01-01,105.7944
1976-02-01,112.4546
1976-03-01,113.7310
1976-04-01,115.0499
1976-05-01,115.9513
1976-06-01,117.1107
1976-07-01,118.3465
1976-08-01,116.0821
1976-09-01,114.2795
1976-10-01,110.8991
1976-11-01,109.3184
1976-12-01,109.4474
1977-01-01,106.6995
1977-02-01,109.1248
1977-03-01,115.7474
1977-04-01,117.9471
1977-05-01,119.9822
1977-06-01,118.9473
1977-07-01,112.8991
1977-08-01,115.0335
1977-09-01,112.7335
1977-10-01,115.2402
1977-11-01,115.1851
1977-12-01,115.5987
1978-01-01,115.6732
1978-02-01,112.9253
1978-03-01,113.0913
1978-04-01,115.5897
1978-05-01,120.8450
1978-06-01,121.5738
1978-07-01,122.3616
1978-08-01,125.3930
1978-09-01,127.1903
1978-10-01,128.0378
1978-11-01,129.8626
1978-12-01,130.9733
1979-01-01,123.1500
1979-02-01,125.5275
1979-03-01,125.4923
1979-04-01,125.6150
1979-05-01,126.5234
1979-06-01,128.9940
1979-07-01,128.7408
1979-08-01,124.6268
1979-09-01,121.8749
