DATE,IPG332S
1972-01-01,65.8594
1972-02-01,66.5021
1972-03-01,67.0274
1972-04-01,67.5569
1972-05-01,68.0857
1972-06-01,68.8934
1972-07-01,68.9690
1972-08-01,69.3715
1972-09-01,70.6460
1972-10-01,70.9905
1972-11-01,72.0746
1972-12-01,72.7875
1973-01-01,73.9912
1973-02-01,75.2104
1973-03-01,75.6291
1973-04-01,75.7938
1973-05-01,76.3686
1973-06-01,76.5333
1973-07-01,77.0002
1973-08-01,76.6695
1973-09-01,76.7538
1973-10-01,77.2104
1973-11-01,77.4476
1973-12-01,77.0360
1974-01-01,76.9001
1974-02-01,76.1872
1974-03-01,75.9580
1974-04-01,75.9983
1974-05-01,76.1196
1974-06-01,75.7742
1974-07-01,75.7031
1974-08-01,75.4945
1974-09-01,74.8803
1974-10-01,74.1374
1974-11-01,72.3852
1974-12-01,70.4392
1975-01-01,68.5245
1975-02-01,66.0298
1975-03-01,64.2996
1975-04-01,64.0788
1975-05-01,63.5863
1975-06-01,63.1409
1975-07-01,62.8379
1975-08-01,64.1964
1975-09-01,64.9539
1975-10-01,65.4729
1975-11-01,64.8288
1975-12-01,65.3301
1976-01-01,66.2620
1976-02-01,67.3380
1976-03-01,67.1946
1976-04-01,68.2055
1976-05-01,68.8358
1976-06-01,69.1136
1976-07-01,69.9781
1976-08-01,70.3762
1976-09-01,71.4685
1976-10-01,70.9776
1976-11-01,71.4269
1976-12-01,72.0445
1977-01-01,71.6820
1977-02-01,72.6277
1977-03-01,73.7119
1977-04-01,74.2765
1977-05-01,75.1542
1977-06-01,75.4633
1977-07-01,76.4926
1977-08-01,76.7515
1977-09-01,76.3786
1977-10-01,77.1275
1977-11-01,76.9021
1977-12-01,77.2164
1978-01-01,76.8078
1978-02-01,76.9877
1978-03-01,77.4851
1978-04-01,78.8467
1978-05-01,78.5491
1978-06-01,78.6775
1978-07-01,78.8033
1978-08-01,79.0558
1978-09-01,79.7784
1978-10-01,80.2954
1978-11-01,80.8500
1978-12-01,82.0590
1979-01-01,81.9553
1979-02-01,82.8275
1979-03-01,83.1578
1979-04-01,81.9633
1979-05-01,82.4168
1979-06-01,83.0870
1979-07-01,82.6344
1979-08-01,81.8513
1979-09-01,82.6347
1979-10-01,82.4923
1979-11-01,82.5782
1979-12-01,82.5518
1980-01-01,83.2173
1980-02-01,81.8663
1980-03-01,81.5719
1980-04-01,80.4234
1980-05-01,76.7553
1980-06-01,74.8651
1980-07-01,74.2912
1980-08-01,74.5845
1980-09-01,75.4054
1980-10-01,76.1226
1980-11-01,77.1859
1980-12-01,77.5974
1981-01-01,77.0918
1981-02-01,77.4013
1981-03-01,77.5875
1981-04-01,78.0332
1981-05-01,78.1084
1981-06-01,78.0615
1981-07-01,78.2102
1981-08-01,77.9355
1981-09-01,77.9296
1981-10-01,76.9396
1981-11-01,75.7834
1981-12-01,74.4118
1982-01-01,72.1979
1982-02-01,73.3667
1982-03-01,72.1107
1982-04-01,70.6510
1982-05-01,70.2549
1982-06-01,69.3066
1982-07-01,68.5429
1982-08-01,68.4798
1982-09-01,67.8688
1982-10-01,66.7058
1982-11-01,65.8052
1982-12-01,65.4363
1983-01-01,66.2841
1983-02-01,66.4489
1983-03-01,66.9315
1983-04-01,68.2437
1983-05-01,68.4826
1983-06-01,68.9195
1983-07-01,69.9995
1983-08-01,70.7404
1983-09-01,71.9187
1983-10-01,72.4957
1983-11-01,72.9309
1983-12-01,73.5880
1984-01-01,74.1356
1984-02-01,74.4238
1984-03-01,74.9685
1984-04-01,75.1409
1984-05-01,75.6286
1984-06-01,76.3148
1984-07-01,76.5716
1984-08-01,76.7984
1984-09-01,76.5963
1984-10-01,76.7295
1984-11-01,76.5779
1984-12-01,76.9590
1985-01-01,76.3275
