DATE,IPMAN
1994-02-01,65.1383
1994-03-01,66.0163
1994-04-01,66.5980
1994-05-01,67.0655
1994-06-01,67.2836
1994-07-01,67.5994
1994-08-01,68.1100
1994-09-01,68.4357
1994-10-01,69.1652
1994-11-01,69.7038
1994-12-01,70.5043
1995-01-01,70.6387
1995-02-01,70.4169
1995-03-01,70.6021
1995-04-01,70.4978
1995-05-01,70.6342
1995-06-01,70.9778
1995-07-01,70.5183
1995-08-01,71.3402
1995-09-01,71.9957
1995-10-01,71.9761
1995-11-01,72.0518
1995-12-01,72.3734
1996-01-01,71.8221
1996-02-01,72.9624
1996-03-01,72.8277
1996-04-01,73.6724
1996-05-01,74.2509
1996-06-01,75.0801
1996-07-01,75.3099
1996-08-01,75.6905
1996-09-01,76.3588
1996-10-01,76.2262
1996-11-01,76.8844
1996-12-01,77.5520
1997-01-01,77.5975
1997-02-01,78.6953
1997-03-01,79.5234
1997-04-01,79.3662
1997-05-01,79.9622
1997-06-01,80.4694
1997-07-01,80.9998
1997-08-01,82.0621
1997-09-01,82.7651
1997-10-01,83.4751
1997-11-01,84.4229
1997-12-01,84.7854
1998-01-01,85.5471
1998-02-01,85.6192
1998-03-01,85.4651
1998-04-01,85.8713
1998-05-01,86.3207
1998-06-01,85.6107
1998-07-01,85.2135
1998-08-01,87.3819
1998-09-01,87.2288
1998-10-01,88.0891
1998-11-01,88.2099
1998-12-01,88.7347
1999-01-01,89.0222
1999-02-01,89.8085
1999-03-01,89.7260
1999-04-01,90.1186
1999-05-01,90.9226
1999-06-01,90.6341
1999-07-01,91.1014
1999-08-01,91.5614
1999-09-01,91.1328
1999-10-01,92.5699
1999-11-01,93.1388
1999-12-01,93.7921
2000-01-01,93.9362
2000-02-01,94.1856
2000-03-01,94.7846
2000-04-01,95.5101
2000-05-01,95.4405
2000-06-01,95.6260
2000-07-01,95.7409
2000-08-01,95.1187
2000-09-01,95.5655
2000-10-01,95.3433
2000-11-01,95.1024
2000-12-01,94.5845
2001-01-01,94.0393
2001-02-01,93.5367
2001-03-01,93.3766
2001-04-01,93.0356
2001-05-01,92.3696
2001-06-01,91.7370
2001-07-01,91.2379
2001-08-01,90.8605
2001-09-01,90.6639
2001-10-01,90.1331
2001-11-01,89.9311
2001-12-01,90.1646
2002-01-01,90.7311
2002-02-01,90.7307
2002-03-01,91.5183
2002-04-01,91.7507
2002-05-01,92.2593
2002-06-01,93.3528
2002-07-01,93.0044
2002-08-01,93.2330
2002-09-01,93.3635
2002-10-01,93.0256
2002-11-01,93.4885
2002-12-01,92.9180
2003-01-01,93.6423
2003-02-01,93.5578
2003-03-01,93.7146
2003-04-01,92.9569
2003-05-01,93.0610
2003-06-01,93.5406
2003-07-01,93.8282
2003-08-01,93.5475
2003-09-01,94.3123
2003-10-01,94.4027
2003-11-01,95.3834
2003-12-01,95.1734
2004-01-01,95.2003
2004-02-01,95.9019
2004-03-01,95.7359
2004-04-01,96.1117
2004-05-01,96.8749
2004-06-01,96.0901
2004-07-01,96.9635
2004-08-01,97.4053
2004-09-01,97.4501
2004-10-01,98.5564
2004-11-01,98.5002
2004-12-01,99.2488
2005-01-01,99.9993
2005-02-01,100.9049
2005-03-01,100.3947
2005-04-01,100.7643
2005-05-01,101.0644
2005-06-01,101.2541
2005-07-01,100.8936
2005-08-01,101.3754
2005-09-01,100.3022
2005-10-01,101.8829
2005-11-01,102.7324
2005-12-01,102.9308
2006-01-01,103.7581
2006-02-01,103.4000
2006-03-01,103.3013
2006-04-01,103.8212
2006-05-01,103.4292
2006-06-01,103.8678
2006-07-01,103.6120
2006-08-01,104.3946
2006-09-01,104.4833
2006-10-01,104.0797
2006-11-01,104.1417
2006-12-01,105.7484
2007-01-01,105.1816
2007-02-01,105.6138
2007-03-01,106.6050
2007-04-01,107.3444
2007-05-01,107.2842
2007-06-01,107.6883
2007-07-01,107.8331
2007-08-01,107.5694
2007-09-01,108.1094
2007-10-01,107.7768
2007-11-01,108.4352
2007-12-01,108.5858
2008-01-01,108.1717
2008-02-01,107.4650
2008-03-01,107.1702
2008-04-01,105.9815
2008-05-01,105.4636
2008-06-01,104.7522
2008-07-01,103.4955
2008-08-01,102.2059
2008-09-01,98.5396
2008-10-01,98.0020
2008-11-01,95.6481
2008-12-01,92.2691
2009-01-01,89.4332
2009-02-01,89.3913
2009-03-01,87.8070
2009-04-01,87.2371
2009-05-01,86.3136
2009-06-01,86.0265
2009-07-01,87.4112
2009-08-01,88.4647
2009-09-01,89.2561
2009-10-01,89.3968
2009-11-01,90.3186
2009-12-01,90.1551
2010-01-01,91.2764
2010-02-01,91.3081
2010-03-01,92.4616
2010-04-01,93.3099
2010-05-01,94.6419
2010-06-01,94.5285
2010-07-01,95.1146
2010-08-01,95.2587
2010-09-01,95.2835
2010-10-01,95.3587
2010-11-01,95.3965
2010-12-01,95.8656
2011-01-01,96.0682
2011-02-01,96.2263
2011-03-01,96.8409
2011-04-01,96.2790
2011-05-01,96.4175
2011-06-01,96.5405
2011-07-01,97.1629
2011-08-01,97.5230
2011-09-01,97.8561
2011-10-01,98.3927
2011-11-01,98.1202
2011-12-01,98.8168
2012-01-01,99.7093
2012-02-01,100.0380
2012-03-01,99.5860
2012-04-01,100.1877
2012-05-01,99.8458
2012-06-01,100.1427
2012-07-01,100.0497
2012-08-01,99.8597
2012-09-01,99.8234
2012-10-01,99.4857
2012-11-01,100.2198
2012-12-01,101.0522
2013-01-01,100.7283
2013-02-01,101.2369
2013-03-01,101.1590
2013-04-01,100.7622
2013-05-01,101.0469
2013-06-01,101.3055
2013-07-01,100.2932
2013-08-01,101.1950
2013-09-01,101.2834
2013-10-01,101.4163
2013-11-01,101.4165
2013-12-01,101.3819
2014-01-01,100.1818
2014-02-01,101.2442
2014-03-01,102.1360
2014-04-01,101.9852
2014-05-01,102.2936
2014-06-01,102.6556
2014-07-01,103.1470
2014-08-01,102.6082
2014-09-01,102.6413
2014-10-01,102.5636
2014-11-01,103.4288
2014-12-01,103.1127
2015-01-01,102.6770
2015-02-01,101.9570
2015-03-01,102.2630
2015-04-01,102.1316
2015-05-01,102.0859
2015-06-01,101.6587
2015-07-01,102.3230
2015-08-01,102.0213
2015-09-01,101.6204
2015-10-01,101.5941
2015-11-01,101.2991
2015-12-01,100.9993
2016-01-01,101.7060
2016-02-01,101.1106
2016-03-01,100.9595
2016-04-01,100.5583
2016-05-01,100.5821
