DATE,IPG313A4S
1991-05-01,176.2509
1991-06-01,179.2046
1991-07-01,181.0094
1991-08-01,181.8941
1991-09-01,181.3106
1991-10-01,181.6220
1991-11-01,183.1940
1991-12-01,186.0459
1992-01-01,182.2437
1992-02-01,185.2289
1992-03-01,185.0909
1992-04-01,185.0010
1992-05-01,187.9880
1992-06-01,187.4996
1992-07-01,187.9455
1992-08-01,188.1460
1992-09-01,189.7567
1992-10-01,189.9549
1992-11-01,191.9188
1992-12-01,190.1777
1993-01-01,194.9029
1993-02-01,192.5071
1993-03-01,187.7851
1993-04-01,193.1045
1993-05-01,195.7700
1993-06-01,194.3909
1993-07-01,197.0024
1993-08-01,195.3997
1993-09-01,195.1107
1993-10-01,197.9162
1993-11-01,196.5809
1993-12-01,197.0446
1994-01-01,200.3126
1994-02-01,196.7678
1994-03-01,199.5980
1994-04-01,204.4664
1994-05-01,202.9114
1994-06-01,204.7425
1994-07-01,206.1584
1994-08-01,206.6827
1994-09-01,207.7878
1994-10-01,211.0251
1994-11-01,210.2345
1994-12-01,211.6991
1995-01-01,212.7136
1995-02-01,211.4524
1995-03-01,209.4929
1995-04-01,207.5130
1995-05-01,202.9571
1995-06-01,200.3760
1995-07-01,199.3684
1995-08-01,200.8184
1995-09-01,201.4674
1995-10-01,196.5664
1995-11-01,196.3002
1995-12-01,196.4240
1996-01-01,189.6183
1996-02-01,193.4335
1996-03-01,198.5114
1996-04-01,194.6671
1996-05-01,197.4871
1996-06-01,202.3826
1996-07-01,196.5399
1996-08-01,198.6093
1996-09-01,199.5574
1996-10-01,199.6949
1996-11-01,202.2239
1996-12-01,204.5408
1997-01-01,201.5668
1997-02-01,204.0978
1997-03-01,207.9067
1997-04-01,206.1184
1997-05-01,207.1506
1997-06-01,209.8861
1997-07-01,209.8253
1997-08-01,210.3000
1997-09-01,212.0756
1997-10-01,210.2262
1997-11-01,215.8730
1997-12-01,214.3114
1998-01-01,215.0826
1998-02-01,210.2754
1998-03-01,208.1731
1998-04-01,205.7894
1998-05-01,208.5904
1998-06-01,206.7300
1998-07-01,207.9223
1998-08-01,208.7271
1998-09-01,204.4363
1998-10-01,206.0909
1998-11-01,204.0657
1998-12-01,204.0695
1999-01-01,206.4270
1999-02-01,208.0822
1999-03-01,205.1121
1999-04-01,207.6742
1999-05-01,211.8327
1999-06-01,207.2097
1999-07-01,208.5079
1999-08-01,207.1937
1999-09-01,207.7020
1999-10-01,210.7463
1999-11-01,208.1534
1999-12-01,210.5651
2000-01-01,211.8591
2000-02-01,210.5908
2000-03-01,210.2882
2000-04-01,211.9458
2000-05-01,208.1645
2000-06-01,207.2256
2000-07-01,205.8020
2000-08-01,200.2702
2000-09-01,199.4120
2000-10-01,197.3024
2000-11-01,193.2875
2000-12-01,193.0548
2001-01-01,190.8750
2001-02-01,188.0127
2001-03-01,189.0693
